     1    4   -4    -35.    -19.   -0.14577E+17    0.82422E+16   -0.22157E+17   -0.46989E+17   -0.11839E+17   -0.15494E+17                0.7662
     1    4   -3    -41.    -20.   -0.15548E+17    0.47043E+16   -0.30321E+17   -0.48733E+17   -0.14219E+17   -0.18993E+17                0.7695
     1    4   -2    -45.    -21.   -0.16392E+17    0.11521E+16   -0.38195E+17   -0.50138E+17   -0.16557E+17   -0.22417E+17                0.7673
     1    5   -5    -23.      1.   -0.15093E+17    0.83329E+16   -0.14048E+17   -0.43886E+17   -0.74529E+16    0.40383E+15                0.7626
     1    5   -4    -32.     -3.   -0.16228E+17    0.57662E+16   -0.20823E+17   -0.45626E+17   -0.97276E+16   -0.22619E+16                0.7711
     1    5   -3    -39.     -7.   -0.17231E+17    0.31596E+16   -0.27396E+17   -0.47047E+17   -0.11991E+17   -0.49608E+16                0.7734
     1    5   -2    -43.     -9.   -0.18093E+17    0.53671E+15   -0.33707E+17   -0.48134E+17   -0.14221E+17   -0.76647E+16                0.7696
     1    5   -1    -45.    -11.   -0.18804E+17   -0.20779E+16   -0.39698E+17   -0.48872E+17   -0.16393E+17   -0.10343E+17                0.7595
     1    6   -4    -16.     20.   -0.17454E+17    0.47005E+16   -0.18321E+17   -0.41987E+17   -0.57448E+16    0.12585E+17                0.7629
     1    6   -3    -23.     17.   -0.18474E+17    0.28853E+16   -0.23572E+17   -0.42906E+17   -0.77483E+16    0.10775E+17                0.7619
     2    3   -3    -38.    -35.   -0.17163E+17   -0.89213E+16   -0.43423E+17   -0.43396E+17   -0.36888E+17   -0.52050E+17                0.8683
     2    3   -2    -39.    -35.   -0.16574E+17   -0.11129E+17   -0.47823E+17   -0.43847E+17   -0.38064E+17   -0.53209E+17                0.8670
     2    4   -3    -36.    -26.   -0.18565E+17   -0.76347E+15   -0.31796E+17   -0.33354E+17   -0.26816E+17   -0.25152E+17                0.8668
     2    4   -2    -38.    -26.   -0.18038E+17   -0.23866E+16   -0.35420E+17   -0.33870E+17   -0.28083E+17   -0.26300E+17                0.8710
     2    4   -1    -39.    -26.   -0.17344E+17   -0.39876E+16   -0.38666E+17   -0.34218E+17   -0.29230E+17   -0.27360E+17                0.8656
     2    5   -3    -34.    -11.   -0.19717E+17    0.25445E+16   -0.26718E+17   -0.26660E+17   -0.20082E+17   -0.71672E+16                0.8635
     2    5   -2    -36.    -12.   -0.19221E+17    0.12962E+16   -0.29874E+17   -0.27162E+17   -0.21360E+17   -0.81638E+16                0.8704
     2    5   -1    -39.    -13.   -0.18548E+17    0.31340E+14   -0.32712E+17   -0.27538E+17   -0.22558E+17   -0.91778E+16                0.8683
     2    6   -2    -23.     14.   -0.20206E+17    0.27286E+16   -0.24841E+17   -0.21546E+17   -0.15703E+17    0.70164E+16                0.8675
     2    6   -1    -28.     13.   -0.19545E+17    0.17265E+16   -0.27248E+17   -0.21878E+17   -0.16881E+17    0.61948E+16                0.8675
     3    3   -2    -38.    -30.   -0.13864E+17   -0.46890E+16   -0.31014E+17   -0.32322E+17   -0.19383E+17   -0.27188E+17                0.6878
     3    3   -1    -37.    -31.   -0.13823E+17   -0.60792E+16   -0.31472E+17   -0.33591E+17   -0.20534E+17   -0.28973E+17                0.7001
     3    3    0    -37.    -31.   -0.13655E+17   -0.74759E+16   -0.31611E+17   -0.34639E+17   -0.21562E+17   -0.30597E+17                0.7012
     3    3    1    -37.    -32.   -0.13362E+17   -0.88636E+16   -0.31430E+17   -0.35464E+17   -0.22462E+17   -0.32053E+17                0.6911
     3    4   -1    -28.    -18.   -0.14363E+17   -0.52405E+16   -0.21798E+17   -0.26602E+17   -0.12953E+17   -0.10405E+17                0.6872
