    1    3   -6     73.     34.    -91. 0.64361E+17     51.    -22.    -27.           0.7422
    1    3   -5    261.     52.    -80. 0.68199E+17     45.    -26.    -29.           0.7515
    1    3   -4    265.     49.    -72. 0.73949E+17     37.    -33.    -30.           0.7559
    1    3   -3    266.     45.    -65. 0.81032E+17     30.    -40.    -30.           0.7553
    1    3   -2    264.     41.    -60. 0.88907E+17     26.    -44.    -30.           0.7495
    1    3   -1    259.     36.    -57. 0.97127E+17     24.    -46.    -29.           0.7387
    1    3    0    255.     32.    -56. 0.10532E+18     24.    -46.    -29.           0.7230
    1    3    1    250.     28.    -55. 0.11320E+18     26.    -45.    -29.           0.7028
    1    3    2    246.     25.    -56. 0.12055E+18     28.    -43.    -28.           0.6786
    1    3    3    243.     23.    -56. 0.12720E+18     31.    -41.    -28.           0.6510
    1    3    4    240.     21.    -57. 0.13297E+18     33.    -39.    -28.           0.6207
    1    3    5    238.     19.    -59. 0.13779E+18     36.    -37.    -27.           0.5884
    1    3    6    236.     18.    -60. 0.14152E+18     38.    -34.    -27.           0.5550
    1    4   -6    263.     53.    -78. 0.51729E+17     71.    -16.    -14.           0.7438
    1    4   -5    266.     51.    -71. 0.57057E+17     57.    -26.    -17.           0.7576
    1    4   -4     53.     48.   -115. 0.63529E+17     46.    -35.    -19.           0.7662
    1    4   -3    267.     45.    -61. 0.70671E+17     39.    -41.    -20.           0.7695
    1    4   -2    264.     41.    -58. 0.78107E+17     34.    -45.    -21.           0.7673
    1    4   -1    261.     38.    -56. 0.85547E+17     31.    -47.    -22.           0.7594
    1    4    0    258.     35.    -55. 0.92766E+17     30.    -47.    -23.           0.7462
    1    4    1    254.     32.    -55. 0.99582E+17     30.    -46.    -24.           0.7278
    1    4    2    251.     29.    -55. 0.10586E+18     31.    -45.    -24.           0.7047
    1    4    3    247.     27.    -56. 0.11146E+18     32.    -44.    -25.           0.6775
    1    4    4    244.     25.    -57. 0.11631E+18     33.    -42.    -25.           0.6471
    1    4    5    242.     23.    -58. 0.12032E+18     35.    -40.    -25.           0.6140
    1    4    6    239.     22.    -59. 0.12343E+18     36.    -38.    -26.           0.5793
    1    5   -6    263.     51.    -75. 0.48666E+17     84.    -10.      6.           0.7484
    1    5   -5    265.     49.    -69. 0.52947E+17     76.    -23.      1.           0.7626
    1    5   -4    266.     47.    -65. 0.57948E+17     64.    -32.     -3.           0.7711
    1    5   -3    265.     44.    -61. 0.63370E+17     54.    -39.     -7.           0.7734
    1    5   -2    264.     42.    -59. 0.68961E+17     48.    -43.     -9.           0.7696
    1    5   -1    262.     39.    -57. 0.74516E+17     43.    -45.    -11.           0.7595
    1    5    0    259.     36.    -56. 0.79878E+17     41.    -46.    -13.           0.7435
    1    5    1    256.     34.    -55. 0.84911E+17     39.    -46.    -14.           0.7220
    1    5    2    253.     32.    -55. 0.89505E+17     39.    -46.    -16.           0.6956
    1    5    3    250.     30.    -56. 0.93575E+17     39.    -45.    -17.           0.6649
    1    5    4    248.     28.    -56. 0.97051E+17     39.    -43.    -18.           0.6308
    1    5    5    245.     26.    -57. 0.99866E+17     40.    -42.    -19.           0.5943
    1    5    6    242.     25.    -58. 0.10198E+18     41.    -40.    -20.           0.5564
    1    6   -6    264.     50.    -72. 0.48336E+17     70.      4.     26.           0.7455
    1    6   -5    266.     48.    -67. 0.51070E+17     70.     -6.     23.           0.7574
    1    6   -4    266.     47.    -63. 0.54195E+17     64.    -16.     20.           0.7629
    1    6   -3    266.     45.    -60. 0.57557E+17     59.    -23.     17.           0.7619
    1    6   -2    265.     43.    -58. 0.61014E+17     56.    -30.     14.           0.7543
    1    6   -1    263.     41.    -56. 0.64443E+17     54.    -35.     11.           0.7404
    1    6    0    261.     38.    -55. 0.67734E+17     53.    -40.      7.           0.7203
    1    6    1    259.     36.    -54. 0.70797E+17     53.    -43.      4.           0.6948
    1    6    2    256.     34.    -54. 0.73554E+17     53.    -46.      1.           0.6644
    1    6    3    254.     32.    -54. 0.75947E+17     53.    -46.     -2.           0.6301
    1    6    4    251.     30.    -54. 0.77918E+17     52.    -44.     -4.           0.5928
    1    6    5    248.     29.    -55. 0.79427E+17     51.    -43.     -6.           0.5536
    1    6    6    245.     27.    -55. 0.80444E+17     51.    -41.     -8.           0.5137
    2    3   -6    240.     37.    -72. 0.92061E+17     28.    -35.    -37.           0.8109
    2    3   -5    239.     35.    -71. 0.96912E+17     27.    -36.    -37.           0.8398
    2    3   -4    237.     33.    -70. 0.10148E+18     27.    -37.    -36.           0.8591
    2    3   -3    235.     32.    -70. 0.10568E+18     27.    -38.    -35.           0.8683
    2    3   -2    234.     30.    -70. 0.10942E+18     26.    -39.    -35.           0.8670
    2    3   -1    232.     29.    -71. 0.11263E+18     26.    -39.    -35.           0.8552
    2    3    0    230.     27.    -71. 0.11523E+18     26.    -40.    -34.           0.8333
    2    3    1    227.     26.    -72. 0.11719E+18     26.    -40.    -34.           0.8018
    2    3    2    225.     25.    -74. 0.11844E+18     26.    -40.    -34.           0.7619
    2    3    3    223.     24.    -75. 0.11897E+18     26.    -41.    -33.           0.7147
    2    3    4    220.     23.    -77. 0.11874E+18     26.    -41.    -33.           0.6617
    2    3    5     25.     68.    -95. 0.11773E+18     25.    -42.    -33.           0.6045
    2    3    6     25.     68.    -94. 0.11595E+18     25.    -42.    -33.           0.5450
    2    4   -6    244.     42.    -68. 0.59756E+17     44.    -29.    -27.           0.8007
    2    4   -5    244.     39.    -66. 0.63614E+17     41.    -32.    -26.           0.8311
    2    4   -4    243.     37.    -65. 0.67368E+17     39.    -34.    -26.           0.8534
    2    4   -3    241.     36.    -65. 0.70931E+17     37.    -36.    -26.           0.8668
    2    4   -2    240.     34.    -65. 0.74231E+17     36.    -38.    -26.           0.8710
    2    4   -1    238.     32.    -65. 0.77202E+17     35.    -39.    -26.           0.8656
    2    4    0    235.     31.    -65. 0.79785E+17     34.    -40.    -26.           0.8508
    2    4    1    233.     29.    -66. 0.81936E+17     33.    -41.    -26.           0.8270
    2    4    2    231.     28.    -68. 0.83614E+17     32.    -42.    -26.           0.7948
    2    4    3    228.     27.    -69. 0.84788E+17     31.    -43.    -26.           0.7552
    2    4    4    225.     26.    -71. 0.85431E+17     30.    -43.    -26.           0.7095
    2    4    5     24.     66.    -98. 0.85530E+17     29.    -44.    -27.           0.6589
    2    4    6     23.     67.    -96. 0.85071E+17     29.    -45.    -27.           0.6049
    2    5   -6    249.     44.    -62. 0.44207E+17     71.    -20.     -9.           0.7935
    2    5   -5    248.     42.    -61. 0.47275E+17     64.    -26.    -10.           0.8244
    2    5   -4    247.     40.    -59. 0.50315E+17     59.    -30.    -10.           0.8480
    2    5   -3    246.     38.    -59. 0.53250E+17     55.    -34.    -11.           0.8635
    2    5   -2    244.     36.    -59. 0.56016E+17     52.    -36.    -12.           0.8704
    2    5   -1    243.     34.    -59. 0.58557E+17     49.    -39.    -13.           0.8683
    2    5    0    240.     33.    -60. 0.60825E+17     46.    -40.    -13.           0.8572
    2    5    1    238.     31.    -61. 0.62781E+17     44.    -42.    -14.           0.8375
    2    5    2    236.     30.    -62. 0.64392E+17     42.    -43.    -15.           0.8095
    2    5    3    233.     28.    -64. 0.65631E+17     40.    -44.    -16.           0.7742
    2    5    4    230.     27.    -66. 0.66478E+17     39.    -45.    -16.           0.7325
    2    5    5     22.     66.   -100. 0.66919E+17     37.    -46.    -17.           0.6857
    2    5    6     22.     67.    -99. 0.66942E+17     35.    -47.    -18.           0.6351
    2    6   -6    254.     47.    -55. 0.38274E+17     80.     -0.     20.           0.7864
    2    6   -5    253.     45.    -54. 0.40419E+17     74.     -7.     19.           0.8177
    2    6   -4    252.     43.    -53. 0.42526E+17     69.    -14.     17.           0.8421
    2    6   -3    251.     41.    -53. 0.44545E+17     65.    -19.     16.           0.8589
    2    6   -2    249.     39.    -53. 0.46430E+17     62.    -23.     14.           0.8675
    2    6   -1    247.     37.    -54. 0.48145E+17     60.    -28.     13.           0.8675
    2    6    0    245.     35.    -54. 0.49657E+17     58.    -31.     11.           0.8588
    2    6    1    243.     33.    -55. 0.50940E+17     57.    -35.      8.           0.8416
    2    6    2    241.     31.    -57. 0.51973E+17     55.    -39.      6.           0.8163
    2    6    3    238.     30.    -59. 0.52739E+17     54.    -42.      4.           0.7837
    2    6    4    235.     28.    -61. 0.53227E+17     53.    -45.      2.           0.7447
    2    6    5     22.     66.   -103. 0.53430E+17     51.    -48.     -0.           0.7003
    2    6    6     21.     66.   -101. 0.53345E+17     48.    -50.     -2.           0.6519
    3    3   -6    252.     36.    -56. 0.50612E+17     34.    -39.    -27.           0.5390
    3    3   -5    251.     36.    -58. 0.54913E+17     33.    -39.    -28.           0.5890
