THERA 1 1 1 1   0.0300   0.0300   0.0600   0.0600
APE 1 1 1 1   0.0300   0.0300   0.0600   0.0600
NISR 1 1 1 1   0.0300   0.0300   0.0600   0.0600
NISR2 1 1 1 1   0.0300   0.0300   0.0600   0.0600
NPS 1 1 1 1   0.0300   0.0300   0.0600   0.0600
SMG 1 1 1 1   0.0300   0.0300   0.0600   0.0600
VAM 1 1 1 1   0.0300   0.0300   0.0600   0.0600
ARG 1 1 1 1   0.0300   0.0300   0.0600   0.0600
PTL 1 1 1 1   0.0300   0.0300   0.0600   0.0600
ATH 1 1 1 1   0.0300   0.0300   0.0600   0.0600
MET2 1 1 1 1   0.0300   0.0300   0.0600   0.0600
KTHA 1 1 1 1   0.0300   0.0300   0.0600   0.0600
