 
 
 
 
 
 
 
 
 
 
 
 
  Covariance matrix; NOT corrected for  scaling
   0.282554E+11  -0.105822E+11   0.607997E+10   0.414184E+10   0.668310E+10  -0.142552E+11
  -0.105822E+11   0.337997E+11   0.843849E+10  -0.565600E+09   0.433886E+09  -0.792142E+10
   0.607997E+10   0.843849E+10   0.459427E+11  -0.360136E+10   0.499839E+10   0.102791E+11
   0.414184E+10  -0.565600E+09  -0.360136E+10   0.489885E+11  -0.725578E+10  -0.840574E+10
   0.668310E+10   0.433886E+09   0.499839E+10  -0.725578E+10   0.753485E+11  -0.368860E+11
  -0.142552E+11  -0.792142E+10   0.102791E+11  -0.840574E+10  -0.368860E+11   0.127654E+12
 
 Pearson-s correlation coefficient
   0.100000E+01  -0.342428E+00   0.168749E+00   0.111326E+00   0.144840E+00  -0.237359E+00
  -0.342428E+00   0.100000E+01   0.214141E+00  -0.138997E-01   0.859769E-02  -0.120595E+00
   0.168749E+00   0.214141E+00   0.100000E+01  -0.759121E-01   0.849541E-01   0.134224E+00
   0.111326E+00  -0.138997E-01  -0.759121E-01   0.100000E+01  -0.119426E+00  -0.106295E+00
   0.144840E+00   0.859769E-02   0.849541E-01  -0.119426E+00   0.100000E+01  -0.376103E+00
  -0.237360E+00  -0.120595E+00   0.134224E+00  -0.106295E+00  -0.376103E+00   0.100000E+01
 
