CLVD          ISO       DC         Mo         Mw          a1           a2           a3          a4           a5           a6            Mxx          Myy         Mzz           Mxx/Myy   Mxx/Mzz 
-53.244210 -30.319280 16.436510 8.759465e+16 5.261685 -1.434258e+16 1.172249e+16 -4.187884e+16 -4.553339e+16 -2.129563e+16 -3.723263e+16  8.300755e+15 -1.593701e+16 -1.040616e+17  -5.208478e-01 -7.976767e-02     261     44    -56
-48.407563 -34.210916 17.381521 1.001947e+17 5.300597 -1.482971e+16 8.542935e+15 -4.104115e+16 -5.004501e+16 -2.705546e+16 -4.810549e+16  1.939519e+15 -2.105003e+16 -1.252060e+17  -9.213856e-02 -1.549063e-02     257     42    -60
-54.396411 -29.656590 15.946999 9.636819e+16 5.289322 -1.706114e+16 1.136773e+16 -5.288061e+16 -4.717981e+16 -2.108175e+16 -4.004292e+16  7.136891e+15 -1.896117e+16 -1.083045e+17  -3.763951e-01 -6.589655e-02     257     39    -51
-53.334225 -28.650790 18.014985 8.817256e+16 5.263589 -1.609763e+16 1.025581e+16 -4.547034e+16 -4.460423e+16 -2.224606e+16 -3.526887e+16  9.335365e+15 -1.302280e+16 -1.021192e+17  -7.168477e-01 -9.141639e-02     256     40    -54
-62.424676 -29.159719 8.415605 9.157714e+16 5.274558 -1.543136e+16 2.174395e+16 -5.008113e+16 -4.358551e+16 -1.854795e+16 -3.755159e+16  6.033921e+15 -1.900364e+16 -9.968504e+16  -3.175139e-01 -6.052985e-02     266     48    -51
-51.595170 -31.789534 16.615297 1.011411e+17 5.303318 -1.590369e+16 1.290942e+16 -4.175790e+16 -5.088604e+16 -2.994945e+16 -4.513571e+16  5.750332e+15 -1.518626e+16 -1.259712e+17  -3.786535e-01 -4.564798e-02     256     43    -61
-51.367054 -31.531851 17.101095 1.059609e+17 5.316797 -1.553077e+16 3.605930e+15 -5.670524e+16 -4.968725e+16 -2.624881e+16 -4.687546e+16  2.811799e+15 -2.062664e+16 -1.228115e+17  -1.363188e-01 -2.289524e-02     250     34    -54
-48.354134 -28.821330 22.824536 8.958868e+16 5.268202 -1.649887e+16 2.753378e+15 -4.717688e+16 -4.588992e+16 -2.187886e+16 -3.588956e+16  1.000036e+16 -1.401069e+16 -1.036583e+17  -7.137664e-01 -9.647426e-02     255     37    -55
-46.698744 -33.586422 19.714834 1.127028e+17 5.334656 -1.641045e+16 6.402638e+14 -5.033511e+16 -5.578738e+16 -2.996788e+16 -5.301855e+16  2.768839e+15 -2.305066e+16 -1.387738e+17  -1.201197e-01 -1.995217e-02     253     37    -60
-61.520210 -25.472376 13.007414 8.031315e+16 5.236558 -1.625860e+16 1.816470e+16 -4.577987e+16 -3.994145e+16 -1.679897e+16 -2.842073e+16  1.152072e+16 -1.162176e+16 -8.516116e+16  -9.913063e-01 -1.352814e-01     262     45    -50
-54.806911 -24.239988 20.953101 9.049892e+16 5.271129 -1.730885e+16 5.536127e+15 -5.981469e+16 -4.243194e+16 -1.838975e+16 -3.014461e+16  1.228733e+16 -1.175486e+16 -9.096630e+16  -1.045298e+00 -1.350757e-01     250     31    -46
-49.130308 -30.618352 20.251341 8.866077e+16 5.265188 -1.466138e+16 1.235988e+16 -3.694824e+16 -4.891981e+16 -2.216226e+16 -3.794162e+16  1.097819e+16 -1.577936e+16 -1.090237e+17  -6.957307e-01 -1.006954e-01     264     46    -60
-53.153495 -28.753041 18.093464 9.172534e+16 5.275026 -1.635642e+16 1.157611e+16 -4.612103e+16 -4.829158e+16 -2.169698e+16 -3.682602e+16  1.146556e+16 -1.512905e+16 -1.068146e+17  -7.578506e-01 -1.073407e-01     261     43    -55
-45.553126 -33.054090 21.392784 1.011843e+17 5.303442 -1.554260e+16 2.923118e+14 -4.234809e+16 -5.116473e+16 -2.881660e+16 -4.676632e+16  4.398414e+15 -1.794972e+16 -1.267476e+17  -2.450408e-01 -3.470213e-02     253     37    -62
-55.086019 -29.294847 15.619133 9.092212e+16 5.272480 -1.738696e+16 2.013733e+16 -4.363385e+16 -4.571080e+16 -2.187075e+16 -3.730562e+16  8.405182e+15 -1.543487e+16 -1.048872e+17  -5.445580e-01 -8.013546e-02     263     48    -55
-63.791208 -20.393906 15.814886 8.213987e+16 5.243069 -1.765055e+16 1.286122e+16 -5.806716e+16 -3.882040e+16 -1.211890e+16 -2.271356e+16  1.610684e+16 -1.059466e+16 -7.365286e+16  -1.520279e+00 -2.186859e-01     254     33    -40
-49.552777 -28.849097 21.598125 8.439608e+16 5.250915 -1.647285e+16 1.825988e+16 -3.387925e+16 -4.601258e+16 -2.237666e+16 -3.388841e+16  1.212416e+16 -1.151175e+16 -1.022777e+17  -1.053199e+00 -1.185417e-01     263     49    -61
-54.071305 -29.013529 16.915166 9.523134e+16 5.285887 -1.666645e+16 1.088392e+16 -4.940371e+16 -4.764284e+16 -2.403532e+16 -3.863853e+16  9.004308e+15 -1.460321e+16 -1.103167e+17  -6.165978e-01 -8.162236e-02     256     40    -54
-50.540500 -29.348032 20.111468 8.061992e+16 5.237662 -1.493435e+16 8.456534e+15 -4.166913e+16 -4.312589e+16 -1.637292e+16 -3.301207e+16  1.011382e+16 -1.663915e+16 -9.251088e+16  -6.078329e-01 -1.093258e-01     263     42    -53
-53.784574 -24.518349 21.697077 8.322175e+16 5.246858 -1.563883e+16 2.975095e+15 -5.486077e+16 -4.050573e+16 -1.513342e+16 -2.804766e+16  1.245807e+16 -1.291424e+16 -8.368681e+16  -9.646771e-01 -1.488654e-01     254     32    -46
-48.976020 -34.143958 16.880022 1.070159e+17 5.319666 -1.571726e+16 8.451013e+15 -4.438239e+16 -5.234396e+16 -3.005306e+16 -5.130293e+16  1.041036e+15 -2.124986e+16 -1.336999e+17  -4.899025e-02 -7.786361e-03     254     40    -60
-51.122387 -27.692462 21.185151 8.345432e+16 5.247666 -1.809292e+16 1.114554e+16 -4.443966e+16 -4.231947e+16 -1.945402e+16 -3.209862e+16  1.022085e+16 -1.264460e+16 -9.387212e+16  -8.083172e-01 -1.088805e-01     257     41    -52
-46.683460 -32.275349 21.041191 1.084482e+17 5.323515 -1.752188e+16 2.142320e+15 -4.749893e+16 -5.325213e+16 -3.230064e+16 -4.894933e+16  4.302795e+15 -1.664869e+16 -1.345021e+17  -2.584464e-01 -3.199054e-02     250     37    -61
-49.137938 -33.641260 17.220802 1.079839e+17 5.322273 -1.612224e+16 8.534647e+15 -4.545875e+16 -5.338999e+16 -3.007127e+16 -5.099655e+16  2.393441e+15 -2.092528e+16 -1.344578e+17  -1.143804e-01 -1.780069e-02     255     41    -60
-55.412771 -25.630046 18.957183 8.559163e+16 5.254988 -1.678025e+16 1.007140e+16 -4.852191e+16 -4.458634e+16 -1.912667e+16 -3.035329e+16  1.423305e+16 -1.122662e+16 -9.406629e+16  -1.267795e+00 -1.513087e-01     258     40    -51
-53.213512 -25.945690 20.840799 8.215787e+16 5.243133 -1.482037e+16 3.746545e+15 -4.851150e+16 -4.036374e+16 -2.029119e+16 -2.947176e+16  1.089198e+16 -9.180570e+15 -9.012669e+16  -1.186417e+00 -1.208519e-01     251     34    -52
-58.326062 -23.352091 18.321847 7.283668e+16 5.208267 -1.475927e+16 9.476707e+15 -4.450897e+16 -3.883329e+16 -1.326267e+16 -2.334572e+16  1.548757e+16 -1.008304e+16 -7.544167e+16  -1.536001e+00 -2.052920e-01     262     41    -48
-52.231054 -26.739686 21.029260 9.710841e+16 5.291538 -1.705894e+16 3.293288e+15 -5.643823e+16 -4.721698e+16 -2.465108e+16 -3.598006e+16  1.123692e+16 -1.132898e+16 -1.078481e+17  -9.918744e-01 -1.041921e-01     250     33    -53
-51.205983 -28.572116 20.221901 8.573451e+16 5.255470 -1.531687e+16 4.956995e+15 -4.611325e+16 -4.294709e+16 -2.136104e+16 -3.412385e+16  8.823240e+15 -1.276281e+16 -9.843197e+16  -6.913241e-01 -8.963795e-02     254     37    -54
-57.200972 -26.864680 15.934349 8.868597e+16 5.265270 -1.469430e+16 7.856466e+15 -5.315777e+16 -4.244035e+16 -2.073267e+16 -3.317506e+16  9.265289e+15 -1.244240e+16 -9.634808e+16  -7.446547e-01 -9.616475e-02     250     34    -50
-53.922288 -26.770497 19.307214 9.739992e+16 5.292406 -1.597993e+16 5.406738e+15 -6.078708e+16 -4.309765e+16 -2.480962e+16 -3.619321e+16  6.904440e+15 -1.138359e+16 -1.041005e+17  -6.065256e-01 -6.632477e-02     242     29    -51
-57.288872 -25.734162 16.976966 7.601988e+16 5.220651 -1.442157e+16 9.223235e+15 -4.503163e+16 -3.867535e+16 -1.577253e+16 -2.712393e+16  1.155142e+16 -1.135140e+16 -8.157181e+16  -1.017620e+00 -1.416104e-01     258     39    -49
-52.609664 -28.766844 18.623492 8.884173e+16 5.265778 -1.509276e+16 5.829271e+15 -4.742315e+16 -4.380693e+16 -2.320052e+16 -3.566950e+16  8.137431e+15 -1.246898e+16 -1.026770e+17  -6.526140e-01 -7.925276e-02     252     36    -54
-49.879088 -29.234781 20.886130 8.943807e+16 5.267715 -1.610782e+16 4.148969e+15 -4.935774e+16 -4.221516e+16 -2.313308e+16 -3.644613e+16  5.769037e+15 -1.331304e+16 -1.017944e+17  -4.333372e-01 -5.667343e-02     249     34    -53
-49.922250 -28.538791 21.538959 7.994637e+16 5.235232 -1.531488e+16 1.265158e+16 -3.501390e+16 -4.387879e+16 -2.067324e+16 -3.173843e+16  1.214036e+16 -1.106519e+16 -9.629047e+16  -1.097166e+00 -1.260806e-01     261     46    -59
-50.614358 -30.091340 19.294302 9.267019e+16 5.277993 -1.613139e+16 1.170765e+16 -3.957051e+16 -4.855678e+16 -2.648286e+16 -3.898396e+16  9.572824e+15 -1.250110e+16 -1.140236e+17  -7.657584e-01 -8.395476e-02     257     43    -60
-48.100341 -29.835049 22.064609 8.532974e+16 5.254100 -1.686043e+16 1.223176e+16 -3.650950e+16 -4.524456e+16 -2.310548e+16 -3.547769e+16  9.766875e+15 -1.237221e+16 -1.038277e+17  -7.894206e-01 -9.406808e-02     258     44    -59
-52.344916 -31.120729 16.534355 9.022837e+16 5.270262 -1.593509e+16 1.196199e+16 -4.503789e+16 -4.473282e+16 -2.106753e+16 -3.939928e+16  5.333539e+15 -1.833176e+16 -1.051996e+17  -2.909453e-01 -5.069922e-02     259     42    -54
-51.035736 -30.353210 18.611055 9.496932e+16 5.285089 -1.632066e+16 1.397484e+16 -4.046172e+16 -5.002246e+16 -2.600687e+16 -4.033881e+16  9.683652e+15 -1.433194e+16 -1.163681e+17  -6.756693e-01 -8.321566e-02     260     45    -60
-57.140694 -28.122470 14.736836 8.802669e+16 5.263110 -1.680029e+16 1.432128e+16 -4.947234e+16 -4.220496e+16 -1.989620e+16 -3.461215e+16  7.592811e+15 -1.471595e+16 -9.671330e+16  -5.159580e-01 -7.850845e-02     256     40    -50
-54.213714 -29.454529 16.331757 8.763052e+16 5.261804 -1.424492e+16 7.076429e+15 -4.824748e+16 -4.307683e+16 -2.026269e+16 -3.614096e+16  6.935868e+15 -1.587827e+16 -9.948047e+16  -4.368150e-01 -6.972090e-02     255     37    -52
-54.372378 -28.082593 17.545029 9.736677e+16 5.292307 -1.609924e+16 6.308093e+15 -5.954296e+16 -4.458456e+16 -2.201160e+16 -3.814249e+16  6.442072e+15 -1.613090e+16 -1.047387e+17  -3.993623e-01 -6.150616e-02     248     32    -49
-54.656462 -28.497035 16.846503 8.367682e+16 5.248437 -1.309701e+16 5.282312e+15 -4.612658e+16 -4.245176e+16 -1.949798e+16 -3.331334e+16  9.138418e+15 -1.381536e+16 -9.526308e+16  -6.614681e-01 -9.592823e-02     256     37    -53
-49.660363 -33.177344 17.162293 9.852106e+16 5.295719 -1.671837e+16 1.550870e+16 -4.000965e+16 -4.851516e+16 -2.733322e+16 -4.588901e+16  2.626153e+15 -1.855579e+16 -1.217374e+17  -1.415274e-01 -2.157228e-02     258     45    -59
-55.776395 -17.653882 26.569723 7.916978e+16 5.232406 -1.568880e+16 2.108235e+15 -5.731037e+16 -3.649076e+16 -1.672186e+16 -1.846443e+16  1.802632e+16 -1.742578e+15 -7.167705e+16  -1.034463e+01 -2.514937e-01     247     28    -46
-50.865443 -33.013166 16.121391 1.057787e+17 5.316299 -1.447034e+16 4.225969e+15 -4.996432e+16 -5.038382e+16 -2.912419e+16 -4.906669e+16  1.317125e+15 -1.994250e+16 -1.285747e+17  -6.604615e-02 -1.024405e-02     251     36    -58
-57.911502 -29.296980 12.791518 9.089394e+16 5.272390 -1.309839e+16 1.118351e+16 -4.758657e+16 -4.650978e+16 -2.128021e+16 -3.737061e+16  9.139173e+15 -1.609040e+16 -1.051606e+17  -5.679893e-01 -8.690682e-02     261     42    -54
-62.793267 -22.174104 15.032629 7.789549e+16 5.227708 -1.600078e+16 1.284502e+16 -5.057181e+16 -3.807520e+16 -1.506994e+16 -2.364409e+16  1.443111e+16 -8.574155e+15 -7.678924e+16  -1.683094e+00 -1.879314e-01     255     37    -45
-47.296688 -31.960751 20.742561 9.885420e+16 5.296697 -1.730957e+16 7.190200e+15 -4.522669e+16 -5.063739e+16 -2.491199e+16 -4.419011e+16  6.447283e+15 -1.927812e+16 -1.197395e+17  -3.344352e-01 -5.384424e-02     257     40    -57
-51.504679 -30.264195 18.231126 9.220899e+16 5.276549 -1.540273e+16 6.911993e+15 -4.796378e+16 -4.717110e+16 -2.068145e+16 -3.906023e+16  8.110870e+15 -1.837879e+16 -1.069128e+17  -4.413169e-01 -7.586436e-02     259     39    -53
-50.036445 -29.954561 20.008994 9.880461e+16 5.296551 -1.794331e+16 9.510265e+15 -4.567745e+16 -4.987042e+16 -2.830806e+16 -4.133904e+16  8.531387e+15 -1.303097e+16 -1.195175e+17  -6.547006e-01 -7.138189e-02     253     40    -58
-52.771690 -26.759097 20.469213 8.526165e+16 5.253869 -1.669167e+16 7.747220e+15 -4.712532e+16 -4.242458e+16 -2.190696e+16 -3.163299e+16  1.079158e+16 -9.726035e+15 -9.596453e+16  -1.109556e+00 -1.124539e-01     253     37    -53
-45.105253 -32.066785 22.827962 1.027816e+17 5.307977 -1.603870e+16 -3.937211e+15 -4.942551e+16 -4.860405e+16 -2.957576e+16 -4.599890e+16  2.605148e+15 -1.642314e+16 -1.241787e+17  -1.586266e-01 -2.097902e-02     247     33    -61
-57.239719 -23.109107 19.651175 8.646276e+16 5.257919 -1.458170e+16 5.029233e+15 -6.138547e+16 -3.860313e+16 -1.575396e+16 -2.736387e+16  1.123926e+16 -1.160991e+16 -8.172097e+16  -9.680745e-01 -1.375322e-01     245     27    -45
-55.039374 -30.652055 14.308571 9.969775e+16 5.299157 -1.464441e+16 8.851875e+15 -5.233085e+16 -4.924930e+16 -2.359150e+16 -4.292933e+16  6.319979e+15 -1.933783e+16 -1.157701e+17  -3.268195e-01 -5.459075e-02     256     39    -53
-54.071136 -29.904093 16.024771 9.375261e+16 5.281356 -1.639698e+16 2.141844e+16 -4.284552e+16 -4.887305e+16 -2.159320e+16 -3.929407e+16  9.578979e+15 -1.770088e+16 -1.097603e+17  -5.411585e-01 -8.727178e-02     268     50    -57
-50.131576 -27.630091 22.238333 8.952332e+16 5.267991 -1.525849e+16 3.586379e+14 -4.963684e+16 -4.556259e+16 -2.188074e+16 -3.431228e+16  1.125031e+16 -1.243154e+16 -1.017556e+17  -9.049812e-01 -1.105620e-01     253     34    -54
-47.569270 -33.221201 19.209528 1.099203e+17 5.327419 -1.674842e+16 5.958114e+15 -4.380722e+16 -5.532221e+16 -3.253884e+16 -5.117255e+16  4.149660e+15 -1.863371e+16 -1.390336e+17  -2.226963e-01 -2.984645e-02     253     40    -62
-59.389516 -19.065919 21.544564 7.424298e+16 5.213804 -1.557294e+16 6.155175e+15 -5.263105e+16 -3.610720e+16 -1.268069e+16 -1.895954e+16  1.714766e+16 -6.278844e+15 -6.774743e+16  -2.731022e+00 -2.531116e-01     253     32    -43
-53.536819 -26.831498 19.631682 8.767066e+16 5.261936 -1.407229e+16 1.927722e+15 -5.291567e+16 -4.221897e+16 -2.070774e+16 -3.264782e+16  9.571152e+15 -1.194008e+16 -9.557453e+16  -8.015986e-01 -1.001433e-01     249     32    -52
-55.989066 -21.896792 22.114143 7.956165e+16 5.233836 -1.617643e+16 5.236397e+15 -5.177674e+16 -3.982236e+16 -1.656160e+16 -2.367135e+16  1.615101e+16 -7.109751e+15 -8.005531e+16  -2.271670e+00 -2.017482e-01     253     34    -47
-45.870558 -33.884464 20.244977 1.143676e+17 5.338902 -1.672360e+16 -6.535373e+14 -4.987528e+16 -5.570249e+16 -3.190607e+16 -5.424810e+16  1.454394e+15 -2.234203e+16 -1.418567e+17  -6.509678e-02 -1.025256e-02     251     36    -61
-54.365453 -25.870921 19.763626 8.733095e+16 5.260812 -1.696231e+16 8.829499e+15 -4.854096e+16 -4.342463e+16 -2.328224e+16 -3.126240e+16  1.216224e+16 -7.980155e+15 -9.796927e+16  -1.524060e+00 -1.241434e-01     252     37    -53
-50.040220 -28.640383 21.319397 8.565289e+16 5.255195 -1.550672e+16 5.414064e+15 -4.278070e+16 -4.472669e+16 -2.222143e+16 -3.413989e+16  1.058681e+16 -1.191846e+16 -1.010880e+17  -8.882698e-01 -1.047286e-01     256     39    -56
-63.960361 -20.148906 15.890733 7.432433e+16 5.214121 -1.476389e+16 1.011688e+16 -5.036204e+16 -3.730060e+16 -1.308576e+16 -2.027754e+16  1.702307e+16 -7.191771e+15 -7.066390e+16  -2.367020e+00 -2.409019e-01     256     35    -44
-52.606122 -29.081527 18.312350 8.449235e+16 5.251245 -1.382055e+16 6.807263e+15 -4.419873e+16 -4.516044e+16 -1.805465e+16 -3.432483e+16  1.083561e+16 -1.627018e+16 -9.753993e+16  -6.659800e-01 -1.110890e-01     262     41    -54
-50.890402 -32.204756 16.904842 9.793163e+16 5.293982 -1.629933e+16 1.424356e+16 -4.329751e+16 -4.969134e+16 -2.470331e+16 -4.427459e+16  5.416751e+15 -1.957127e+16 -1.186692e+17  -2.767705e-01 -4.564579e-02     261     44    -58
-64.404961 -24.601530 10.993509 8.613975e+16 5.256836 -1.616892e+16 1.696075e+16 -5.340760e+16 -4.308312e+16 -1.494763e+16 -2.938261e+16  1.370051e+16 -1.443499e+16 -8.741336e+16  -9.491182e-01 -1.567324e-01     262     43    -46
-51.585465 -30.098544 18.315991 9.636051e+16 5.289299 -1.712105e+16 1.017332e+16 -4.692309e+16 -4.783022e+16 -2.609167e+16 -4.058300e+16  7.247224e+15 -1.449133e+16 -1.145049e+17  -5.001076e-01 -6.329183e-02     254     40    -56
-46.584511 -31.422817 21.992672 9.270857e+16 5.278113 -1.443520e+16 7.494468e+14 -4.045957e+16 -4.914271e+16 -2.498518e+16 -4.067645e+16  8.466260e+15 -1.569127e+16 -1.148043e+17  -5.395523e-01 -7.374512e-02     256     38    -61
-57.092869 -26.744517 16.162614 9.126315e+16 5.273564 -1.645428e+16 1.018501e+16 -5.474433e+16 -4.359986e+16 -2.063846e+16 -3.396876e+16  9.631093e+15 -1.333030e+16 -9.820708e+16  -7.224963e-01 -9.806923e-02     252     35    -49
-60.836153 -25.045385 14.118462 8.367179e+16 5.248419 -1.693024e+16 1.652371e+16 -4.872612e+16 -4.152746e+16 -1.806869e+16 -2.904839e+16  1.247907e+16 -1.097970e+16 -8.864454e+16  -1.136559e+00 -1.407765e-01     259     42    -49
-60.569868 -18.760242 20.669890 7.200878e+16 5.204957 -1.375048e+16 5.961152e+15 -5.278490e+16 -3.312160e+16 -1.278987e+16 -1.807697e+16  1.504463e+16 -5.287105e+15 -6.398844e+16  -2.845532e+00 -2.351147e-01     247     28    -43
-48.824188 -32.714203 18.461609 9.558153e+16 5.286949 -1.539495e+16 9.944063e+15 -4.024186e+16 -4.893015e+16 -2.554843e+16 -4.384491e+16  5.085237e+15 -1.829648e+16 -1.183235e+17  -2.779352e-01 -4.297741e-02     258     43    -60
-50.708932 -30.805065 18.486002 9.932807e+16 5.298081 -1.550687e+16 3.124689e+15 -5.367417e+16 -4.728041e+16 -2.436594e+16 -4.284665e+16  4.433758e+15 -1.848071e+16 -1.144930e+17  -2.399128e-01 -3.872514e-02     251     34    -54
-58.394388 -23.301735 18.303876 7.381008e+16 5.212110 -1.756720e+16 1.767688e+16 -4.086455e+16 -3.795830e+16 -1.624485e+16 -2.360202e+16  1.435627e+16 -7.357169e+15 -7.780517e+16  -1.951331e+00 -1.845157e-01     262     46    -51
-64.387425 -15.224279 20.388295 7.245998e+16 5.206765 -1.584472e+16 1.044073e+16 -5.647395e+16 -3.145115e+16 -9.705143e+15 -1.443319e+16  1.701796e+16 -4.728047e+15 -5.558948e+16  -3.599363e+00 -3.061363e-01     247     26    -37
