Station 	 NS 	 EW 	 Z
THERA 		 0.86 	 0.32 	 0.37
APE 		 0.97 	 0.77 	 0.74
NISR 		 0.36 	 1.00 	 -1.22
NISR2 		 0.62 	 0.41 	 -0.16
NPS 		 0.92 	 -0.06 	 0.61
SMG 		 0.76 	 0.76 	 -0.03
VAM 		 -1.32 	 -0.18 	 -0.89
ARG 		 0.86 	 0.67 	 0.79
PTL 		 0.52 	 -0.07 	 0.82
ATH 		 0.44 	 -0.24 	 0.83
MET2 		 0.79 	 0.59 	 0.83
KTHA 		 0.57 	 0.80 	 0.53
