 Station co-ordinates
 x(N>0,km),y(E>0,km),z(km),azim.,dist.,stat.
   -25.0824   -18.3022     0.0000   216.1175    31.0499 THERA ?
    53.2280   -13.8896     0.0000   345.3750    55.0104 APE ?
     2.9118   129.8693     0.0000    88.7156   129.9019 NISR ?
    -1.0411   134.0252     0.0000    90.4451   134.0292 NISR2 ?
  -147.7779    -6.2639     0.0000   182.4272   147.9106 NPS ?
   123.9259   102.1668     0.0000    39.5028   160.6104 SMG ?
  -130.5948  -134.3931     0.0000   225.8212   187.3939 VAM ?
   -39.3459   219.5645     0.0000   100.1595   223.0621 ARG ?
   162.9036  -159.3558     0.0000   315.6308   227.8856 PTL ?
   155.0055  -172.3514     0.0000   311.9669   231.8010 ATH ?
   115.6965  -207.4445     0.0000   299.1494   237.5266 MET2 ?
   -34.1575  -235.1731     0.0000   261.7359   237.6407 KTHA ?
