THERA  1 1 1 1    1
APE  1 1 1 1    1
NISR  1 1 1 1    1
NISR2  1 1 1 1    1
NPS  1 1 1 1    1
SMG  1 1 1 1    1
VAM  1 1 1 1    1
ARG  1 1 1 1    1
PTL  1 1 1 1    1
ATH  1 1 1 1    1
MET2  1 1 1 1    1
KTHA  1 1 1 1    1
