('THERA', 2, 36.366992, 25.475263, (31045.616107301248, 216.11690590100577, 35.995674815478026))
('APE', 2, 37.07274, 25.52301, (55012.92212758042, 345.37871271794705, 165.28509720704096))
('NISR', 2, 36.6106, 27.1309, (129904.76575090465, 88.71411471374067, 269.5797413570645))
('NISR2', 2, 36.57441, 27.17666, (134032.01085083926, 90.44363893383658, 271.3361732498157))
('NPS', 2, 35.26134, 25.61037, (147907.13025481935, 182.42610388595133, 2.3857329866700354))
('IACM', 2, 35.3058, 25.0709, (153022.15058619707, 201.19520882283948, 20.83808664098018))
('SMG', 2, 37.70425, 26.83772, (160614.714758271, 39.502788135144655, 220.20246904816696))
('IDI', 2, 35.288, 24.89, (161376.80789392392, 206.4158682863936, 25.952633921128523))
('VAM', 2, 35.407, 24.1997, (187389.63071706766, 225.82132772229087, 44.95163756922972))
('SIVA', 2, 35.01777, 24.81204, (191562.9866181304, 204.40487766617952, 23.897522452377984))
('KARY', 2, 38.0321, 24.437, (193974.95237491478, 325.78809260515203, 145.03505662773176))
('ARG', 2, 36.21356, 28.12122, (223064.2290641168, 100.1585633342875, 281.6079888719804))
('ATHU', 2, 37.9665, 23.7845, (226846.41853614288, 312.7814710114036, 131.63370511474147))
('PTL', 2, 38.0473, 23.8638, (227886.0339355229, 315.63181679028685, 134.53106713013642))
('ATH', 2, 37.97384, 23.71767, (231801.1537221084, 311.96790220728536, 130.77954572322906))
('MET2', 2, 37.612669, 23.329567, (237525.8001201063, 299.150409065584, 117.73283190482861))
('KTHA', 2, 36.2566, 23.0621, (237637.49636962323, 261.73658259529935, 80.18246743422858))
('KRND', 2, 37.383, 23.1502, (241593.15050084348, 292.02967521559304, 110.50792935609914))
('GR32', 2, 36.967115, 22.987585, (243818.76475196713, 280.6031892878477, 98.99141461505411))
('VLI', 2, 36.71803, 22.94686, (244684.10149232767, 274.06122456458627, 92.42982548625001))
