0.000000e+00     -1.279887e-05     -2.498656e-06     -6.934291e-07
3.000000e-01     -2.468349e-05     -4.176440e-06     -9.913288e-07
6.000000e-01     -2.072926e-05     -1.887307e-06     -5.610643e-07
9.000000e-01     -2.157104e-05     -1.472907e-06     -5.750044e-07
1.200000e+00     -2.082460e-05     -1.755591e-06     -1.441834e-06
1.500000e+00     -2.398790e-05     -2.838398e-06     -1.058710e-06
1.800000e+00     -2.484325e-05     -3.716859e-06     -1.609498e-06
2.100000e+00     -2.445407e-05     -3.643383e-06     -1.921142e-06
2.400000e+00     -2.376216e-05     -3.562625e-06     -2.391586e-06
2.700000e+00     -2.299276e-05     -3.688791e-06     -2.667659e-06
3.000000e+00     -2.325204e-05     -4.218916e-06     -2.247667e-06
3.300000e+00     -2.482077e-05     -4.124927e-06     -1.822666e-06
3.600000e+00     -2.539891e-05     -3.747372e-06     -1.288439e-06
3.900000e+00     -2.546841e-05     -2.682498e-06     -1.327427e-06
4.200000e+00     -2.509748e-05     -2.060839e-06     -1.287297e-06
4.500000e+00     -2.441531e-05     -1.814931e-06     -1.014418e-06
4.800000e+00     -2.243496e-05     -2.656381e-06     -5.086802e-07
5.100000e+00     -2.587468e-05     -2.548837e-06     -2.570200e-06
5.400000e+00     -2.406183e-05     -4.166911e-06     -5.409355e-07
5.700000e+00     -2.806280e-05     -4.429187e-06     -3.632024e-06
6.000000e+00     -1.886063e-05     -1.617480e-05     3.984794e-06
6.300000e+00     -1.095356e-04     -1.027816e-04     1.266033e-04
6.600000e+00     -8.187622e-05     -1.646034e-04     1.700670e-05
6.900000e+00     3.298805e-05     -1.307302e-04     -8.036030e-05
7.200000e+00     1.525248e-05     -1.188625e-04     -4.083427e-05
7.500000e+00     -9.212657e-06     -8.806727e-05     -9.480546e-05
7.800000e+00     1.705944e-05     -1.236753e-04     -5.336033e-05
8.100000e+00     -9.822442e-05     -1.045863e-04     4.289862e-05
8.400000e+00     9.101879e-05     -8.845188e-05     -2.471081e-04
8.700000e+00     1.593254e-04     7.220355e-05     -1.136951e-04
9.000000e+00     2.402020e-04     1.492084e-05     -3.247859e-04
9.300000e+00     1.077229e-04     1.810216e-04     -1.050797e-04
9.600000e+00     -6.452084e-05     -4.614758e-04     -2.725217e-04
9.900000e+00     -1.501459e-03     1.772251e-03     -6.786222e-05
1.020000e+01     -6.647414e-04     2.305495e-03     2.143659e-03
1.050000e+01     5.961144e-04     -1.670747e-03     7.532412e-04
1.080000e+01     1.289537e-03     -3.828014e-04     -1.344888e-03
1.110000e+01     -1.818857e-03     -5.040319e-04     2.859752e-04
1.140000e+01     7.331323e-04     1.483853e-03     1.055627e-03
1.170000e+01     -7.866309e-04     2.366167e-03     -3.359576e-04
1.200000e+01     -1.906574e-04     -1.229335e-03     -2.475171e-04
1.230000e+01     3.842180e-03     -3.380974e-04     -1.414166e-03
1.260000e+01     1.383556e-04     -1.042957e-03     -1.077011e-03
1.290000e+01     -9.186922e-04     -1.065785e-03     9.641537e-05
1.320000e+01     -8.404702e-04     1.512822e-04     5.551377e-04
1.350000e+01     -8.534365e-05     -1.209615e-03     -1.243963e-04
1.380000e+01     -7.230427e-04     -8.015042e-04     3.479177e-04
1.410000e+01     1.022985e-03     -8.371208e-04     5.847151e-04
1.440000e+01     4.253459e-04     -6.427533e-04     2.328382e-04
1.470000e+01     1.009585e-04     6.626628e-04     4.806342e-04
1.500000e+01     2.520699e-04     7.449838e-04     6.465081e-04
1.530000e+01     2.203308e-04     9.936706e-04     -6.996096e-04
1.560000e+01     -2.278680e-05     3.114651e-04     -7.110780e-04
1.590000e+01     -5.861488e-04     -1.970261e-04     -8.007931e-05
1.620000e+01     -6.428060e-05     6.528023e-04     -1.316244e-04
1.650000e+01     -4.300071e-04     8.338719e-05     -1.677049e-04
1.680000e+01     -3.975135e-04     -6.264849e-04     5.421929e-05
1.710000e+01     3.064987e-04     -1.740530e-06     3.171472e-04
1.740000e+01     2.353785e-04     -2.893651e-04     -3.906137e-04
1.770000e+01     7.378003e-04     -1.311715e-04     -2.473176e-04
1.800000e+01     -3.103475e-04     7.341664e-04     3.754595e-04
1.830000e+01     -2.226477e-04     6.196670e-04     5.600778e-04
1.860000e+01     -2.825750e-04     -4.932591e-04     1.030211e-04
1.890000e+01     -4.879047e-04     -1.168222e-04     3.567740e-05
1.920000e+01     7.521931e-05     3.697943e-04     -1.998563e-04
1.950000e+01     3.013076e-04     -2.155700e-04     -8.440161e-05
1.980000e+01     2.758837e-05     4.049279e-05     6.848801e-05
2.010000e+01     -7.127423e-05     -1.936410e-04     -2.800392e-04
2.040000e+01     6.162867e-04     -3.854886e-04     5.665940e-05
2.070000e+01     -1.895693e-04     -2.880987e-04     -5.963278e-05
2.100000e+01     -5.552090e-05     -3.191082e-04     8.954364e-05
