     1    5   -3    -39.     -7.   -0.17231E+17    0.31596E+16   -0.27396E+17   -0.47047E+17   -0.11991E+17   -0.49608E+16                0.7734
     2    4   -2    -38.    -26.   -0.18038E+17   -0.23866E+16   -0.35420E+17   -0.33870E+17   -0.28083E+17   -0.26300E+17                0.8710
     3    3    0    -37.    -31.   -0.13655E+17   -0.74759E+16   -0.31611E+17   -0.34639E+17   -0.21562E+17   -0.30597E+17                0.7012
     4    3   -2    -49.    -28.   -0.15135E+17    0.75489E+16   -0.35199E+17   -0.34337E+17   -0.17935E+17   -0.26233E+17                0.7260
     5    5   -2    -61.    -12.   -0.14889E+17    0.80637E+16   -0.34196E+17   -0.33908E+17   -0.21774E+17   -0.93754E+16                0.7426
     6    5   -4    -24.     -1.   -0.15859E+17    0.74025E+16   -0.19282E+17   -0.44905E+17   -0.52022E+16   -0.48580E+15                0.7697
     7    4    0    -50.    -20.   -0.18811E+17    0.84322E+16   -0.40433E+17   -0.45257E+17   -0.17845E+17   -0.20575E+17                0.6868
     8    3    3    -50.    -27.   -0.24018E+17    0.17586E+17   -0.49088E+17   -0.49011E+17   -0.28901E+17   -0.37347E+17                0.6730
     9    5    0    -56.    -11.   -0.15120E+17    0.14502E+16   -0.37226E+17   -0.35397E+17   -0.21023E+17   -0.85713E+16                0.7048
    10    6    2    -27.      5.   -0.24726E+17    0.41775E+16   -0.34071E+17   -0.21969E+17   -0.18795E+17    0.29634E+16                0.8787
    11    5   -4     -2.      6.   -0.12025E+17   -0.48313E+16   -0.25325E+17   -0.48866E+17    0.11806E+17    0.33485E+16                0.9015
    12    4   -1    -51.    -20.   -0.16912E+17    0.17747E+16   -0.46150E+17   -0.45819E+17   -0.14050E+17   -0.20044E+17                0.7597
    13    4   -2    -47.    -16.   -0.18714E+17    0.12037E+17   -0.39694E+17   -0.46966E+17   -0.44699E+16   -0.14002E+17                0.8034
    14    3    2    -32.    -36.   -0.21382E+17   -0.37589E+16   -0.38024E+17   -0.41034E+17   -0.33174E+17   -0.47727E+17                0.8408
    15    4    0    -43.    -17.   -0.20629E+17    0.15619E+17   -0.34251E+17   -0.49227E+17   -0.12836E+17   -0.15969E+17                0.6685
    16    5    3    -36.     -6.   -0.20923E+17    0.34697E+16   -0.27487E+17   -0.32152E+17   -0.17785E+17   -0.42164E+16                0.7001
    17    3    0    -52.    -27.   -0.17285E+17    0.77030E+16   -0.48140E+17   -0.44078E+17   -0.22617E+17   -0.32781E+17                0.7251
    18    3    2    -41.    -34.   -0.17778E+17   -0.63327E+15   -0.42337E+17   -0.44134E+17   -0.35816E+17   -0.49399E+17                0.7777
    19    3   -1    -44.    -28.   -0.13741E+17   -0.23969E+16   -0.38808E+17   -0.36125E+17   -0.14872E+17   -0.27117E+17                0.6502
    20    4    0    -52.    -20.   -0.19789E+17    0.90950E+16   -0.46534E+17   -0.46571E+17   -0.16094E+17   -0.21383E+17                0.7315
    21    4    1    -53.    -21.   -0.21206E+17    0.11896E+17   -0.47839E+17   -0.45388E+17   -0.20292E+17   -0.24164E+17                0.7193
    22    4   -1    -53.    -19.   -0.16777E+17    0.46555E+16   -0.46116E+17   -0.44789E+17   -0.12925E+17   -0.19752E+17                0.7422
    23    5    0    -54.    -13.   -0.19614E+17    0.77853E+16   -0.45454E+17   -0.33621E+17   -0.23547E+17   -0.12094E+17                0.7878
    23    5    1    -51.    -15.   -0.19755E+17    0.61116E+16   -0.46930E+17   -0.34197E+17   -0.25503E+17   -0.14249E+17                0.7879
    24    3    0    -39.    -31.   -0.14299E+17   -0.24486E+16   -0.30625E+17   -0.33288E+17   -0.21665E+17   -0.29661E+17                0.6205
    25    3    2    -36.    -34.   -0.18483E+17   -0.73844E+16   -0.36187E+17   -0.41977E+17   -0.36836E+17   -0.46402E+17                0.8479
    26    3   -1    -44.    -24.   -0.14373E+17    0.15728E+17   -0.28880E+17   -0.41903E+17   -0.10873E+17   -0.21766E+17                0.6212
    27    3   -2    -46.    -33.   -0.15222E+17    0.16340E+16   -0.45680E+17   -0.40295E+17   -0.30283E+17   -0.42844E+17                0.7290
    28    3    0    -23.    -27.   -0.15347E+17   -0.15204E+17   -0.29454E+17   -0.27550E+17   -0.18178E+17   -0.21651E+17                0.7105
    29    4   -2    -48.    -17.   -0.16729E+17    0.10926E+17   -0.32799E+17   -0.43922E+17   -0.12999E+17   -0.14744E+17                0.7598
    30    3   -2    -41.    -31.   -0.13657E+17   -0.32295E+16   -0.33324E+17   -0.34581E+17   -0.22355E+17   -0.31727E+17                0.6896
    31    5    2    -38.    -10.   -0.22402E+17    0.36664E+16   -0.33238E+17   -0.31646E+17   -0.20631E+17   -0.70841E+16                0.7811
    32    3   -3    -17.    -17.   -0.11745E+17    0.24308E+16   -0.16306E+17   -0.32525E+17   -0.12758E+16   -0.82059E+16                0.5865
    33    4    0    -54.    -24.   -0.16764E+17    0.10996E+17   -0.41014E+17   -0.34989E+17   -0.24244E+17   -0.24813E+17                0.6223
    34    3    1    -48.    -31.   -0.21674E+17    0.10467E+17   -0.60204E+17   -0.45727E+17   -0.32279E+17   -0.48610E+17                0.8663
    35    5    0    -39.     -8.   -0.16729E+17   -0.14003E+16   -0.27787E+17   -0.26132E+17   -0.18650E+17   -0.45129E+16                0.7728
    36    4    0    -58.    -20.   -0.20340E+17    0.10193E+17   -0.58526E+17   -0.42831E+17   -0.14238E+17   -0.22894E+17                0.7923
    37    3    0    -65.    -28.   -0.19471E+17    0.41032E+17   -0.43806E+17   -0.38431E+17   -0.28036E+17   -0.37419E+17                0.7161
    38    3   -1    -56.    -28.   -0.16000E+17    0.12373E+17   -0.65433E+17   -0.41712E+17   -0.28465E+17   -0.40112E+17                0.7752
    39    4    1    -51.    -21.   -0.21473E+17    0.11917E+17   -0.46045E+17   -0.46800E+17   -0.21641E+17   -0.24717E+17                0.6960
    40    4   -2    -50.    -19.   -0.15899E+17    0.63660E+16   -0.38718E+17   -0.45577E+17   -0.13407E+17   -0.18547E+17                0.7591
    41    4    1    -58.    -19.   -0.12778E+17    0.64910E+16   -0.32457E+17   -0.33854E+17   -0.19083E+17   -0.15308E+17                0.6767
    42    5   -4    -11.      3.   -0.14145E+17    0.32088E+15   -0.21465E+17   -0.47922E+17    0.17645E+16    0.15438E+16                0.8405
    43    4    2    -52.    -21.   -0.16464E+17    0.65015E+16   -0.37114E+17   -0.39981E+17   -0.21948E+17   -0.20947E+17                0.6288
    44    4   -1    -54.    -23.   -0.16247E+17    0.70130E+16   -0.44742E+17   -0.40174E+17   -0.24388E+17   -0.25851E+17                0.7065
    45    3    0    -50.    -30.   -0.13489E+17    0.51827E+16   -0.38598E+17   -0.44750E+17   -0.20971E+17   -0.35017E+17                0.6974
