  Evnt    Mrr    Mtt    Mpp    Mrt    Mrp    Mtp 
1 -7.802400e+16 +1.757400e+16 -3.024000e+15 +5.967900e+15 -3.673400e+16 +1.739500e+16 
2 -7.802400e+16 +1.757400e+16 -3.024000e+15 +5.967900e+15 -3.673400e+16 +2.739500e+16 
