-2.1000 1 0.3960
-1.8000 1 0.4036
-1.5000 1 0.4092
-1.2000 1 0.4127
-0.9000 1 0.4143
-0.6000 1 0.4137
-0.3000 1 0.4111
0.0000 1 0.4065
0.3000 1 0.4000
0.6000 1 0.3918
0.9000 1 0.3821
1.2000 1 0.3710
1.5000 1 0.3589
1.8000 1 0.3461
2.1000 1 0.3329
-2.1000 2 0.6494
-1.8000 2 0.6657
-1.5000 2 0.6778
-1.2000 2 0.6857
-0.9000 2 0.6891
-0.6000 2 0.6880
-0.3000 2 0.6824
0.0000 2 0.6724
0.3000 2 0.6581
0.6000 2 0.6398
0.9000 2 0.6177
1.2000 2 0.5922
1.5000 2 0.5639
1.8000 2 0.5333
2.1000 2 0.5010
-2.1000 3 0.7264
-1.8000 3 0.7554
-1.5000 3 0.7805
-1.2000 3 0.8013
-0.9000 3 0.8173
-0.6000 3 0.8283
-0.3000 3 0.8341
0.0000 3 0.8346
0.3000 3 0.8298
0.6000 3 0.8196
0.9000 3 0.8043
1.2000 3 0.7840
1.5000 3 0.7588
1.8000 3 0.7293
2.1000 3 0.6958
-2.1000 4 0.7256
-1.8000 4 0.7545
-1.5000 4 0.7794
-1.2000 4 0.8000
-0.9000 4 0.8159
-0.6000 4 0.8268
-0.3000 4 0.8326
0.0000 4 0.8331
0.3000 4 0.8284
0.6000 4 0.8184
0.9000 4 0.8034
1.2000 4 0.7834
1.5000 4 0.7588
1.8000 4 0.7300
2.1000 4 0.6973
-2.1000 5 0.7251
-1.8000 5 0.7535
-1.5000 5 0.7778
-1.2000 5 0.7976
-0.9000 5 0.8127
-0.6000 5 0.8227
-0.3000 5 0.8275
0.0000 5 0.8271
0.3000 5 0.8214
0.6000 5 0.8105
0.9000 5 0.7944
1.2000 5 0.7735
1.5000 5 0.7480
1.8000 5 0.7183
2.1000 5 0.6848
-2.1000 6 0.7215
-1.8000 6 0.7489
-1.5000 6 0.7722
-1.2000 6 0.7909
-0.9000 6 0.8049
-0.6000 6 0.8138
-0.3000 6 0.8175
0.0000 6 0.8159
0.3000 6 0.8092
0.6000 6 0.7972
0.9000 6 0.7802
1.2000 6 0.7584
1.5000 6 0.7320
1.8000 6 0.7015
2.1000 6 0.6674
-2.1000 7 0.7169
-1.8000 7 0.7430
-1.5000 7 0.7650
-1.2000 7 0.7824
-0.9000 7 0.7950
-0.6000 7 0.8026
-0.3000 7 0.8051
0.0000 7 0.8023
0.3000 7 0.7945
0.6000 7 0.7815
0.9000 7 0.7636
1.2000 7 0.7410
1.5000 7 0.7140
1.8000 7 0.6829
2.1000 7 0.6484
-2.1000 8 0.7139
-1.8000 8 0.7390
-1.5000 8 0.7599
-1.2000 8 0.7764
-0.9000 8 0.7882
-0.6000 8 0.7950
-0.3000 8 0.7968
0.0000 8 0.7935
0.3000 8 0.7852
0.6000 8 0.7718
0.9000 8 0.7537
1.2000 8 0.7310
1.5000 8 0.7040
1.8000 8 0.6732
2.1000 8 0.6390
-2.1000 9 0.7088
-1.8000 9 0.7332
-1.5000 9 0.7535
-1.2000 9 0.7694
-0.9000 9 0.7808
-0.6000 9 0.7873
-0.3000 9 0.7889
0.0000 9 0.7856
0.3000 9 0.7774
0.6000 9 0.7643
0.9000 9 0.7465
1.2000 9 0.7243
1.5000 9 0.6980
1.8000 9 0.6680
2.1000 9 0.6348
-2.1000 10 0.7034
-1.8000 10 0.7267
-1.5000 10 0.7459
-1.2000 10 0.7608
-0.9000 10 0.7711
-0.6000 10 0.7767
-0.3000 10 0.7774
0.0000 10 0.7733
0.3000 10 0.7643
0.6000 10 0.7505
0.9000 10 0.7322
1.2000 10 0.7096
1.5000 10 0.6830
1.8000 10 0.6528
2.1000 10 0.6195
-2.1000 11 0.7000
-1.8000 11 0.7225
-1.5000 11 0.7410
-1.2000 11 0.7551
-0.9000 11 0.7647
-0.6000 11 0.7696
-0.3000 11 0.7698
0.0000 11 0.7651
0.3000 11 0.7556
0.6000 11 0.7416
0.9000 11 0.7230
1.2000 11 0.7002
1.5000 11 0.6736
1.8000 11 0.6434
2.1000 11 0.6103
-2.1000 12 0.6950
-1.8000 12 0.7171
-1.5000 12 0.7352
-1.2000 12 0.7490
-0.9000 12 0.7582
-0.6000 12 0.7628
-0.3000 12 0.7626
0.0000 12 0.7576
0.3000 12 0.7480
0.6000 12 0.7337
0.9000 12 0.7150
1.2000 12 0.6921
1.5000 12 0.6654
1.8000 12 0.6353
2.1000 12 0.6021
-2.1000 13 0.6890
-1.8000 13 0.7109
-1.5000 13 0.7287
-1.2000 13 0.7422
-0.9000 13 0.7511
-0.6000 13 0.7554
-0.3000 13 0.7549
0.0000 13 0.7497
0.3000 13 0.7397
0.6000 13 0.7251
0.9000 13 0.7062
1.2000 13 0.6830
1.5000 13 0.6560
1.8000 13 0.6254
2.1000 13 0.5919
-2.1000 14 0.6860
-1.8000 14 0.7072
-1.5000 14 0.7244
-1.2000 14 0.7373
-0.9000 14 0.7458
-0.6000 14 0.7497
-0.3000 14 0.7490
0.0000 14 0.7436
0.3000 14 0.7336
0.6000 14 0.7191
0.9000 14 0.7003
1.2000 14 0.6774
1.5000 14 0.6508
1.8000 14 0.6208
2.1000 14 0.5879
-2.1000 15 0.6806
-1.8000 15 0.7003
-1.5000 15 0.7162
-1.2000 15 0.7280
-0.9000 15 0.7355
-0.6000 15 0.7386
-0.3000 15 0.7373
0.0000 15 0.7315
0.3000 15 0.7212
0.6000 15 0.7068
0.9000 15 0.6882
1.2000 15 0.6659
1.5000 15 0.6400
1.8000 15 0.6110
2.1000 15 0.5794
-2.1000 16 0.6725
-1.8000 16 0.6911
-1.5000 16 0.7062
-1.2000 16 0.7174
-0.9000 16 0.7246
-0.6000 16 0.7277
-0.3000 16 0.7266
0.0000 16 0.7213
0.3000 16 0.7119
0.6000 16 0.6985
0.9000 16 0.6813
