   15.00000       20.00000    
   14.99753       20.15705    
   14.99013       20.31395    
   14.97781       20.47054    
   14.96057       20.62667    
   14.93844       20.78217    
   14.91144       20.93691    
   14.87958       21.09072    
   14.84292       21.24345    
   14.80147       21.39495    
   14.75528       21.54508    
   14.70440       21.69369    
   14.64888       21.84062    
   14.58877       21.98574    
   14.52414       22.12890    
   14.45503       22.26995    
   14.38153       22.40877    
   14.30371       22.54521    
   14.22164       22.67913    
   14.13540       22.81042    
   14.04509       22.93893    
   13.95078       23.06454    
   13.85257       23.18712    
   13.75056       23.30656    
   13.64484       23.42274    
   13.53553       23.53553    
   13.42274       23.64484    
   13.30656       23.75056    
   13.18712       23.85257    
   13.06454       23.95078    
   12.93893       24.04508    
   12.81042       24.13540    
   12.67913       24.22164    
   12.54521       24.30371    
   12.40877       24.38153    
   12.26995       24.45503    
   12.12890       24.52414    
   11.98574       24.58877    
   11.84062       24.64888    
   11.69369       24.70440    
   11.54509       24.75528    
   11.39496       24.80147    
   11.24345       24.84291    
   11.09072       24.87958    
   10.93691       24.91144    
   10.78217       24.93844    
   10.62667       24.96057    
   10.47054       24.97781    
   10.31395       24.99013    
   10.15706       24.99753    
   10.00000       25.00000    
   9.842948       24.99753    
   9.686049       24.99013    
   9.529460       24.97781    
   9.373336       24.96057    
   9.217829       24.93844    
   9.063095       24.91144    
   8.909286       24.87959    
   8.756552       24.84292    
   8.605046       24.80147    
   8.454917       24.75528    
   8.306313       24.70440    
   8.159379       24.64888    
   8.014262       24.58877    
   7.871105       24.52414    
   7.730049       24.45503    
   7.591233       24.38153    
   7.454794       24.30371    
   7.320868       24.22164    
   7.189584       24.13540    
   7.061076       24.04509    
   6.935466       23.95078    
   6.812882       23.85257    
   6.693442       23.75056    
   6.577266       23.64484    
   6.464468       23.53554    
   6.355158       23.42274    
   6.249446       23.30656    
   6.147435       23.18712    
   6.049226       23.06454    
   5.954916       22.93893    
   5.864599       22.81042    
   5.778362       22.67914    
   5.696291       22.54521    
   5.618467       22.40877    
   5.544969       22.26995    
   5.475866       22.12890    
   5.411228       21.98574    
   5.351119       21.84063    
   5.295597       21.69369    
   5.244718       21.54509    
   5.198532       21.39496    
   5.157085       21.24345    
   5.120417       21.09072    
   5.088564       20.93691    
   5.061559       20.78218    
   5.039427       20.62667    
   5.022191       20.47054    
   5.009867       20.31396    
   5.002467       20.15706    
   5.000000       20.00000    
   5.002467       19.84295    
   5.009866       19.68605    
   5.022190       19.52946    
   5.039426       19.37334    
   5.061558       19.21783    
   5.088563       19.06310    
   5.120416       18.90929    
   5.157084       18.75655    
   5.198531       18.60505    
   5.244717       18.45492    
   5.295595       18.30631    
   5.351116       18.15938    
   5.411225       18.01426    
   5.475863       17.87111    
   5.544966       17.73005    
   5.618465       17.59123    
   5.696288       17.45480    
   5.778358       17.32087    
   5.864595       17.18959    
   5.954913       17.06108    
   6.049222       16.93547    
   6.147431       16.81288    
   6.249443       16.69344    
   6.355154       16.57727    
   6.464463       16.46447    
   6.577262       16.35516    
   6.693437       16.24945    
   6.812877       16.14744    
   6.935462       16.04923    
   7.061071       15.95492    
   7.189580       15.86460    
   7.320863       15.77836    
   7.454788       15.69629    
   7.591228       15.61847    
   7.730044       15.54497    
   7.871100       15.47587    
   8.014256       15.41123    
   8.159374       15.35112    
   8.306308       15.29560    
   8.454910       15.24472    
   8.605040       15.19853    
   8.756548       15.15709    
   8.909279       15.12042    
   9.063088       15.08856    
   9.217823       15.06156    
   9.373329       15.03943    
   9.529453       15.02219    
   9.686043       15.00987    
   9.842941       15.00247    
   9.999995       15.00000    
   10.15705       15.00247    
   10.31395       15.00987    
   10.47054       15.02219    
   10.62666       15.03943    
   10.78217       15.06156    
   10.93690       15.08856    
   11.09071       15.12041    
   11.24345       15.15708    
   11.39495       15.19853    
   11.54508       15.24472    
   11.69369       15.29560    
   11.84062       15.35112    
   11.98574       15.41123    
   12.12889       15.47586    
   12.26995       15.54496    
   12.40876       15.61846    
   12.54520       15.69629    
   12.67913       15.77836    
   12.81041       15.86460    
   12.93892       15.95491    
   13.06453       16.04922    
   13.18712       16.14743    
   13.30655       16.24944    
   13.42273       16.35515    
   13.53553       16.46446    
   13.64484       16.57726    
   13.75055       16.69344    
   13.85256       16.81288    
   13.95077       16.93546    
   14.04508       17.06107    
   14.13540       17.18958    
   14.22164       17.32086    
   14.30371       17.45479    
   14.38153       17.59122    
   14.45503       17.73004    
   14.52413       17.87110    
   14.58877       18.01426    
   14.64888       18.15937    
   14.70440       18.30630    
   14.75528       18.45491    
   14.80147       18.60504    
   14.84291       18.75654    
   14.87958       18.90928    
   14.91144       19.06309    
   14.93844       19.21782    
   14.96057       19.37333    
   14.97781       19.52945    
   14.99013       19.68604    
   14.99753       19.84294    
   15.00000       19.99999    
 *
   5.148522       18.79039    
   5.159366       18.86260    
   5.171408       18.93434    
   5.184630       19.00561    
   5.199014       19.07639    
   5.214540       19.14668    
   5.231190       19.21648    
   5.248947       19.28577    
   5.267792       19.35456    
   5.287709       19.42283    
   5.308680       19.49058    
   5.330688       19.55781    
   5.353718       19.62452    
   5.377752       19.69069    
   5.402776       19.75633    
   5.428774       19.82142    
   5.455730       19.88597    
   5.483629       19.94998    
   5.512456       20.01343    
   5.542197       20.07632    
   5.572838       20.13866    
   5.604363       20.20043    
   5.636761       20.26164    
   5.670016       20.32227    
   5.704115       20.38234    
   5.739046       20.44182    
   5.774793       20.50073    
   5.811347       20.55906    
   5.848692       20.61680    
   5.886817       20.67395    
   5.925710       20.73051    
   5.965357       20.78648    
   6.005747       20.84185    
   6.046869       20.89663    
   6.088710       20.95080    
   6.131259       21.00437    
   6.174504       21.05733    
   6.218434       21.10968    
   6.263039       21.16143    
   6.308305       21.21255    
   6.354224       21.26307    
   6.400783       21.31295    
   6.447973       21.36223    
   6.495782       21.41087    
   6.544200       21.45890    
   6.593217       21.50629    
   6.642823       21.55305    
   6.693006       21.59919    
   6.743757       21.64468    
   6.795065       21.68954    
   6.846924       21.73376    
   6.899318       21.77734    
   6.952241       21.82027    
   7.005684       21.86256    
   7.059635       21.90420    
   7.114085       21.94519    
   7.169025       21.98553    
   7.224445       22.02521    
   7.280336       22.06424    
   7.336689       22.10261    
   7.393494       22.14031    
   7.450743       22.17736    
   7.508423       22.21373    
   7.566530       22.24945    
   7.625051       22.28449    
   7.683981       22.31886    
   7.743307       22.35255    
   7.803020       22.38557    
   7.863115       22.41792    
   7.923580       22.44958    
   7.984407       22.48056    
   8.045588       22.51086    
   8.107112       22.54047    
   8.168971       22.56939    
   8.231157       22.59763    
   8.293664       22.62517    
   8.356478       22.65201    
   8.419592       22.67816    
   8.482999       22.70361    
   8.546689       22.72836    
   8.610655       22.75240    
   8.674887       22.77575    
   8.739376       22.79838    
   8.804115       22.82030    
   8.869093       22.84152    
   8.934305       22.86202    
   8.999740       22.88180    
   9.065389       22.90087    
   9.131247       22.91922    
   9.197300       22.93684    
   9.263544       22.95375    
   9.396566       22.98537    
   9.463329       23.00009    
   9.530245       23.01407    
   9.597309       23.02732    
   9.664512       23.03984    
   9.731843       23.05161    
   9.799298       23.06265    
   9.866864       23.07294    
   9.934536       23.08249    
   10.00230       23.09129    
   10.07016       23.09933    
   10.13809       23.10663    
   10.20609       23.11317    
   10.27416       23.11896    
   10.34228       23.12399    
   10.41044       23.12826    
   10.47863       23.13176    
   10.54686       23.13450    
   10.61510       23.13647    
   10.68335       23.13767    
   10.75161       23.13810    
   10.81985       23.13776    
   10.88808       23.13664    
   10.95628       23.13474    
   11.02444       23.13206    
   11.09257       23.12859    
   11.16064       23.12434    
   11.22865       23.11930    
   11.29658       23.11347    
   11.36444       23.10684    
   11.43221       23.09942    
   11.49988       23.09120    
   11.56745       23.08218    
   11.63489       23.07236    
   11.70221       23.06173    
   11.76940       23.05029    
   11.83644       23.03805    
   11.90332       23.02498    
   11.97004       23.01110    
