256.000000 39.000000 -53.000000
280.000000 61.000000 -60.000000 50.000000 40.000000 -132.000000
278.000000 58.000000 -58.000000 48.000000 44.000000 -130.000000
274.000000 54.000000 -56.000000 45.000000 48.000000 -128.000000
270.000000 50.000000 -54.000000 41.000000 52.000000 -125.000000
265.000000 46.000000 -53.000000 38.000000 55.000000 -122.000000
260.000000 42.000000 -53.000000 34.000000 58.000000 -119.000000
256.000000 39.000000 -53.000000 32.000000 60.000000 -116.000000
252.000000 37.000000 -54.000000 30.000000 61.000000 -114.000000
249.000000 35.000000 -55.000000 29.000000 62.000000 -111.000000
246.000000 33.000000 -57.000000 28.000000 63.000000 -110.000000
243.000000 31.000000 -58.000000 27.000000 64.000000 -108.000000
240.000000 30.000000 -60.000000 27.000000 64.000000 -106.000000
280.000000 61.000000 -57.000000 47.000000 43.000000 -134.000000
277.000000 57.000000 -55.000000 46.000000 46.000000 -131.000000
274.000000 54.000000 -54.000000 44.000000 49.000000 -129.000000
271.000000 50.000000 -53.000000 41.000000 52.000000 -126.000000
267.000000 47.000000 -53.000000 39.000000 54.000000 -123.000000
264.000000 44.000000 -53.000000 37.000000 56.000000 -120.000000
260.000000 42.000000 -53.000000 36.000000 58.000000 -118.000000
257.000000 39.000000 -54.000000 34.000000 59.000000 -116.000000
254.000000 37.000000 -55.000000 33.000000 60.000000 -113.000000
251.000000 35.000000 -57.000000 32.000000 61.000000 -111.000000
248.000000 34.000000 -58.000000 31.000000 62.000000 -109.000000
245.000000 33.000000 -60.000000 31.000000 62.000000 -108.000000
278.000000 59.000000 -56.000000 46.000000 45.000000 -132.000000
276.000000 56.000000 -56.000000 45.000000 47.000000 -130.000000
273.000000 53.000000 -55.000000 44.000000 49.000000 -128.000000
42.000000 51.000000 -125.000000 271.000000 51.000000 -54.000000
268.000000 48.000000 -54.000000 41.000000 53.000000 -123.000000
265.000000 46.000000 -54.000000 40.000000 54.000000 -121.000000
263.000000 44.000000 -55.000000 38.000000 56.000000 -119.000000
260.000000 42.000000 -55.000000 37.000000 57.000000 -117.000000
257.000000 40.000000 -56.000000 36.000000 58.000000 -115.000000
254.000000 38.000000 -57.000000 35.000000 59.000000 -113.000000
251.000000 37.000000 -59.000000 34.000000 59.000000 -111.000000
276.000000 56.000000 -53.000000 43.000000 48.000000 -132.000000
274.000000 54.000000 -53.000000 42.000000 50.000000 -130.000000
41.000000 51.000000 -127.000000 272.000000 52.000000 -53.000000
270.000000 49.000000 -53.000000 40.000000 53.000000 -125.000000
267.000000 47.000000 -53.000000 39.000000 54.000000 -123.000000
265.000000 45.000000 -54.000000 38.000000 55.000000 -121.000000
262.000000 44.000000 -54.000000 37.000000 56.000000 -119.000000
259.000000 42.000000 -55.000000 36.000000 57.000000 -117.000000
257.000000 40.000000 -56.000000 35.000000 58.000000 -115.000000
254.000000 39.000000 -57.000000 34.000000 58.000000 -113.000000
277.000000 56.000000 -51.000000 41.000000 50.000000 -134.000000
275.000000 54.000000 -51.000000 41.000000 51.000000 -131.000000
40.000000 52.000000 -129.000000 273.000000 52.000000 -51.000000
271.000000 50.000000 -51.000000 39.000000 53.000000 -127.000000
269.000000 49.000000 -51.000000 38.000000 54.000000 -125.000000
266.000000 47.000000 -51.000000 37.000000 55.000000 -123.000000
264.000000 45.000000 -52.000000 36.000000 56.000000 -122.000000
261.000000 43.000000 -53.000000 35.000000 57.000000 -120.000000
259.000000 41.000000 -53.000000 34.000000 58.000000 -118.000000
278.000000 57.000000 -49.000000 39.000000 51.000000 -136.000000
276.000000 55.000000 -49.000000 39.000000 52.000000 -134.000000
273.000000 53.000000 -49.000000 38.000000 53.000000 -131.000000
271.000000 51.000000 -49.000000 37.000000 54.000000 -129.000000
269.000000 50.000000 -50.000000 36.000000 54.000000 -127.000000
