 
 
 
 
 
 
 
 
 
 
 
 
  Covariance matrix; NOT corrected for  scaling
   0.124994E+09  -0.560636E+08   0.149136E+08   0.332152E+07   0.208421E+08  -0.241354E+08
  -0.560636E+08   0.200032E+09   0.118838E+08  -0.410901E+07   0.474081E+07  -0.508283E+07
   0.149136E+08   0.118838E+08   0.225055E+09  -0.183048E+08  -0.642134E+07   0.516654E+08
   0.332152E+07  -0.410901E+07  -0.183048E+08   0.216603E+09   0.196137E+08  -0.262179E+08
   0.208421E+08   0.474080E+07  -0.642134E+07   0.196137E+08   0.277633E+09  -0.676316E+08
  -0.241354E+08  -0.508283E+07   0.516654E+08  -0.262179E+08  -0.676316E+08   0.464778E+09
 
 Pearson-s correlation coefficient
   0.100000E+01  -0.354557E+00   0.889188E-01   0.201864E-01   0.111882E+00  -0.100135E+00
  -0.354557E+00   0.100000E+01   0.560095E-01  -0.197403E-01   0.201172E-01  -0.166699E-01
   0.889188E-01   0.560095E-01   0.100000E+01  -0.829061E-01  -0.256889E-01   0.159747E+00
   0.201864E-01  -0.197403E-01  -0.829061E-01   0.100000E+01   0.799816E-01  -0.826310E-01
   0.111882E+00   0.201172E-01  -0.256889E-01   0.799816E-01   0.100000E+01  -0.188274E+00
  -0.100135E+00  -0.166699E-01   0.159747E+00  -0.826310E-01  -0.188274E+00   0.100000E+01
 
