 trial position no.            7
 
 
 
 
 
 
 
 
 
 
 
 
  Covariance matrix; NOT corrected for  scaling
   0.782139E+14  -0.380458E+14   0.331317E+14   0.391079E+14   0.614959E+14   0.635236E+13
  -0.380458E+14   0.178857E+15   0.343795E+14   0.110660E+13  -0.206241E+14  -0.215704E+14
   0.331317E+14   0.343795E+14   0.173650E+15   0.741598E+13   0.113423E+14   0.175095E+14
   0.391079E+14   0.110660E+13   0.741597E+13   0.140446E+15   0.967937E+14   0.544657E+14
   0.614959E+14  -0.206241E+14   0.113423E+14   0.967937E+14   0.176266E+15   0.590443E+14
   0.635236E+13  -0.215704E+14   0.175095E+14   0.544657E+14   0.590443E+14   0.156491E+15
 trial position no.            8
 
 
 
 
 
 
 
 
 
 
 
 
  Covariance matrix; NOT corrected for  scaling
   0.865971E+14  -0.384558E+14   0.320729E+14   0.345745E+14   0.601619E+14  -0.129262E+14
  -0.384558E+14   0.144934E+15   0.250048E+14   0.348641E+13  -0.178328E+14  -0.156684E+14
   0.320729E+14   0.250048E+14   0.138367E+15   0.401133E+13   0.860130E+13   0.123090E+14
   0.345746E+14   0.348641E+13   0.401133E+13   0.121659E+15   0.736848E+14   0.160604E+14
   0.601619E+14  -0.178328E+14   0.860130E+13   0.736848E+14   0.155490E+15   0.133268E+14
  -0.129261E+14  -0.156684E+14   0.123090E+14   0.160604E+14   0.133268E+14   0.147286E+15
 trial position no.            9
 
 
 
 
 
 
 
 
 
 
 
 
  Covariance matrix; NOT corrected for  scaling
   0.955986E+14  -0.399891E+14   0.320531E+14   0.317134E+14   0.607108E+14  -0.302714E+14
  -0.399891E+14   0.123108E+15   0.187522E+14   0.343721E+13  -0.183939E+14  -0.118572E+14
   0.320531E+14   0.187522E+14   0.115585E+15   0.327126E+13   0.832709E+13   0.938612E+13
   0.317134E+14   0.343721E+13   0.327125E+13   0.108777E+15   0.561261E+14  -0.100021E+14
   0.607108E+14  -0.183939E+14   0.832709E+13   0.561261E+14   0.141910E+15  -0.194337E+14
  -0.302714E+14  -0.118572E+14   0.938612E+13  -0.100021E+14  -0.194337E+14   0.161960E+15
 trial position no.           10
 
 
 
 
 
 
 
 
 
 
 
 
  Covariance matrix; NOT corrected for  scaling
   0.103974E+15  -0.436127E+14   0.335857E+14   0.304723E+14   0.627144E+14  -0.459711E+14
  -0.436127E+14   0.119871E+15   0.169998E+14   0.153972E+13  -0.226233E+14  -0.929868E+13
   0.335857E+14   0.169998E+14   0.110817E+15   0.499100E+13   0.100876E+14   0.793570E+13
   0.304723E+14   0.153972E+13   0.499100E+13   0.100184E+15   0.425617E+14  -0.227199E+14
   0.627144E+14  -0.226233E+14   0.100876E+14   0.425617E+14   0.133899E+15  -0.383774E+14
  -0.459711E+14  -0.929868E+13   0.793570E+13  -0.227199E+14  -0.383774E+14   0.200877E+15
 trial position no.           11
 
 
 
 
 
 
 
 
 
 
 
 
  Covariance matrix; NOT corrected for  scaling
