 
 2D correlation for isub=           1
     4   -0.9000    0.7061       237.   40.  -99.        69.   51.  -82.   56.41  -26.63  0.35867E-07  0.25135E+17
     4   -0.6000    0.7286       237.   39.  -99.        69.   51.  -82.   56.58  -26.69  0.33560E-07  0.25936E+17
     4   -0.3000    0.7454       237.   39. -100.        69.   52.  -82.   56.73  -26.75  0.31785E-07  0.26544E+17
     4    0.0000    0.7565       237.   39. -100.        69.   52.  -82.   56.87  -26.80  0.30599E-07  0.26952E+17
     4    0.3000    0.7616       237.   38. -100.        69.   52.  -82.   57.02  -26.84  0.30045E-07  0.27154E+17
     4    0.6000    0.7607       237.   38. -100.        69.   53.  -82.   57.17  -26.88  0.30141E-07  0.27149E+17
     4    0.9000    0.7538       237.   38. -100.        69.   53.  -82.   57.32  -26.92  0.30884E-07  0.26939E+17
     4    1.2000    0.7410       237.   37. -100.        69.   53.  -83.   57.48  -26.95  0.32252E-07  0.26524E+17
     4    1.5000    0.7224       237.   37. -100.        69.   54.  -83.   57.66  -26.99  0.34200E-07  0.25910E+17
     4    1.8000    0.6982       237.   36. -100.        69.   54.  -83.   57.84  -27.02  0.36665E-07  0.25103E+17
     4    2.1000    0.6685       237.   36.  -99.        69.   55.  -83.   58.05  -27.06  0.39567E-07  0.24110E+17
     5   -2.1000    0.5718        68.   50.  -84.       239.   40.  -97.   84.31  -12.14  0.48142E-07  0.16162E+17
     5   -1.8000    0.6159       238.   40.  -98.        69.   51.  -83.   84.17  -12.54  0.44401E-07  0.17424E+17
     5   -1.5000    0.6554       237.   39.  -99.        69.   51.  -83.   83.99  -12.89  0.40807E-07  0.18564E+17
     5   -1.2000    0.6900       237.   39. -100.        69.   52.  -82.   83.77  -13.19  0.37473E-07  0.19573E+17
     5   -0.9000    0.7194       237.   39. -100.        70.   52.  -82.   83.54  -13.45  0.34508E-07  0.20437E+17
     5   -0.6000    0.7433       236.   39. -101.        70.   52.  -81.   83.29  -13.69  0.32009E-07  0.21151E+17
     5   -0.3000    0.7615       236.   38. -101.        70.   52.  -81.   83.03  -13.91  0.30058E-07  0.21704E+17
     5    0.0000    0.7736       235.   38. -102.        70.   53.  -81.   82.77  -14.11  0.28721E-07  0.22093E+17
     5    0.3000    0.7797       235.   38. -102.        70.   53.  -81.   82.50  -14.30  0.28043E-07  0.22314E+17
