    1    7   -6    233.     55.   -100. 0.23830E+17     88.     -4.      8.           0.6486
    1    7   -5    233.     54.   -100. 0.23285E+17     88.      1.     11.           0.6670
    1    7   -4    233.     53.   -101. 0.22631E+17     80.      7.     13.           0.6783
    1    7   -3    234.     52.   -101. 0.21886E+17     72.     13.     16.           0.6820
    1    7   -2    234.     50.   -101. 0.21071E+17     64.     18.     18.           0.6782
    1    7   -1     70.     43.    -78. 0.20211E+17     55.     24.     21.           0.6671
    1    7    0     70.     44.    -79. 0.19333E+17     47.     30.     23.           0.6491
    1    7    1     69.     47.    -80. 0.18469E+17     38.     36.     26.           0.6248
    1    7    2     67.     49.    -83. 0.17651E+17     29.     43.     28.           0.5951
    1    7    3     64.     52.    -87. 0.16912E+17     21.     49.     31.           0.5610
    1    7    4     57.     55.    -97. 0.16287E+17     13.     54.     33.           0.5237
    1    7    5    273.     38.    -44. 0.15803E+17      9.     56.     35.           0.4843
    1    7    6    287.     48.    -16. 0.15482E+17     11.     52.     37.           0.4440
    1    8   -6    233.     55.   -102. 0.22737E+17     72.      7.     22.           0.6402
    1    8   -5    233.     53.   -102. 0.22551E+17     65.     12.     24.           0.6598
    1    8   -4    233.     52.   -102. 0.22259E+17     58.     17.     25.           0.6724
    1    8   -3    233.     51.   -102. 0.21872E+17     51.     21.     27.           0.6776
    1    8   -2    233.     50.   -102. 0.21400E+17     45.     26.     29.           0.6754
    1    8   -1     71.     43.    -77. 0.20856E+17     38.     32.     30.           0.6660
    1    8    0     71.     45.    -78. 0.20256E+17     31.     37.     32.           0.6495
    1    8    1     69.     47.    -80. 0.19615E+17     24.     42.     34.           0.6268
    1    8    2     67.     49.    -83. 0.18953E+17     17.     47.     35.           0.5985
    1    8    3     61.     51.    -91. 0.18288E+17     10.     53.     37.           0.5656
    1    8    4    265.     40.    -56. 0.17641E+17      5.     56.     38.           0.5292
    1    8    5     25.     76.   -143. 0.17031E+17      8.     53.     40.           0.4904
    1    8    6    287.     58.     -6. 0.16477E+17     13.     46.     40.           0.4505
    1    9   -6    233.     54.   -103. 0.22878E+17     55.     14.     31.           0.6339
    1    9   -5    233.     53.   -103. 0.22939E+17     49.     19.     32.           0.6538
    1    9   -4    233.     52.   -104. 0.22882E+17     43.     23.     33.           0.6669
    1    9   -3    233.     51.   -104. 0.22710E+17     38.     28.     35.           0.6728
    1    9   -2    232.     49.   -104. 0.22429E+17     32.     32.     36.           0.6713
