-2.1000 1 1.51 244. 43. 80. 5 0 0
-1.8000 1 1.33 248. 43. 84. 5 0 0
-1.5000 1 1.18 251. 42. 88. 5 0 0
-1.2000 1 1.06 255. 42. 92. 5 0 0
-0.9000 1 0.95 258. 43. 98. 5 0 0
-0.6000 1 0.87 262. 43. 103. 5 0 0
-0.3000 1 0.82 267. 44. 109. 5 0 0
0.0000 1 0.78 271. 45. 116. 5 0 0
0.3000 1 0.77 275. 47. 122. 5 0 0
0.6000 1 0.78 279. 49. 129. 5 0 0
0.9000 1 0.82 283. 52. 134. 5 0 0
1.2000 1 0.89 286. 54. 139. 5 0 0
1.5000 1 0.99 288. 57. 144. 5 0 0
1.8000 1 1.13 290. 59. 147. 5 0 0
2.1000 1 1.30 291. 61. 150. 5 0 0
-2.1000 2 46.80 200. 82. 178. 5 0 0
-1.8000 2 46.23 200. 82. 177. 5 0 0
-1.5000 2 45.64 200. 82. 176. 5 0 0
-1.2000 2 45.04 200. 82. 175. 5 0 0
-0.9000 2 44.41 200. 82. 174. 5 0 0
-0.6000 2 43.73 200. 82. 173. 5 0 0
-0.3000 2 43.01 200. 82. 172. 5 0 0
0.0000 2 42.24 291. 82. 8. 5 0 0
0.3000 2 41.39 199. 82. 171. 5 0 0
0.6000 2 40.47 199. 82. 170. 5 0 0
0.9000 2 39.45 199. 82. 169. 5 0 0
1.2000 2 38.33 199. 82. 167. 5 0 0
1.5000 2 37.08 199. 82. 166. 5 0 0
1.8000 2 35.70 199. 83. 165. 5 0 0
2.1000 2 34.16 199. 83. 163. 5 0 0
-2.1000 3 35.25 237. 49. -97. 5 0 0
-1.8000 3 35.37 67. 43. -82. 5 0 0
-1.5000 3 35.53 68. 44. -82. 5 0 0
-1.2000 3 35.70 68. 45. -83. 5 0 0
-0.9000 3 35.89 68. 46. -83. 5 0 0
-0.6000 3 36.10 68. 47. -83. 5 0 0
-0.3000 3 36.33 68. 48. -83. 5 0 0
0.0000 3 36.59 68. 49. -84. 5 0 0
0.3000 3 36.86 239. 41. -97. 5 0 0
0.6000 3 37.16 239. 40. -97. 5 0 0
0.9000 3 37.50 239. 39. -96. 5 0 0
1.2000 3 37.87 240. 38. -96. 5 0 0
1.5000 3 38.28 240. 37. -95. 5 0 0
1.8000 3 38.75 241. 36. -95. 5 0 0
2.1000 3 39.28 66. 55. -87. 5 0 0
-2.1000 4 55.50 68. 49. -83. 5 0 0
-1.8000 4 55.78 238. 41. -98. 5 0 0
-1.5000 4 56.03 238. 41. -98. 5 0 0
-1.2000 4 56.23 237. 40. -99. 5 0 0
-0.9000 4 56.41 237. 40. -99. 5 0 0
-0.6000 4 56.58 237. 39. -99. 5 0 0
-0.3000 4 56.73 237. 39. -100. 5 0 0
0.0000 4 56.87 237. 39. -100. 5 0 0
0.3000 4 57.02 237. 38. -100. 5 0 0
0.6000 4 57.17 237. 38. -100. 5 0 0
0.9000 4 57.32 237. 38. -100. 5 0 0
1.2000 4 57.48 237. 37. -100. 5 0 0
1.5000 4 57.66 237. 37. -100. 5 0 0
1.8000 4 57.84 237. 36. -100. 5 0 0
2.1000 4 58.05 237. 36. -99. 5 0 0
-2.1000 5 84.31 68. 50. -84. 5 0 0
-1.8000 5 84.17 238. 40. -98. 5 0 0
-1.5000 5 83.99 237. 39. -99. 5 0 0
-1.2000 5 83.77 237. 39. -100. 5 0 0
-0.9000 5 83.54 237. 39. -100. 5 0 0
-0.6000 5 83.29 236. 39. -101. 5 0 0
-0.3000 5 83.03 236. 38. -101. 5 0 0
0.0000 5 82.77 235. 38. -102. 5 0 0
0.3000 5 82.50 235. 38. -102. 5 0 0
0.6000 5 82.22 235. 38. -103. 5 0 0
0.9000 5 81.94 235. 38. -103. 5 0 0
1.2000 5 81.65 234. 37. -103. 5 0 0
1.5000 5 81.35 234. 37. -103. 5 0 0
1.8000 5 81.04 234. 37. -103. 5 0 0
2.1000 5 80.72 234. 37. -103. 5 0 0
-2.1000 6 66.96 68. 51. -84. 5 0 0
-1.8000 6 67.91 238. 39. -98. 5 0 0
-1.5000 6 68.84 237. 39. -99. 5 0 0
-1.2000 6 69.76 237. 39. -100. 5 0 0
-0.9000 6 70.66 236. 39. -101. 5 0 0
-0.6000 6 71.55 235. 39. -102. 5 0 0
-0.3000 6 72.45 235. 39. -103. 5 0 0
0.0000 6 73.34 234. 38. -103. 5 0 0
0.3000 6 74.25 234. 38. -104. 5 0 0
0.6000 6 75.18 233. 38. -104. 5 0 0
0.9000 6 76.14 233. 38. -104. 5 0 0
1.2000 6 77.15 233. 38. -105. 5 0 0
1.5000 6 78.22 232. 38. -105. 5 0 0
1.8000 6 79.36 232. 38. -105. 5 0 0
2.1000 6 80.60 232. 38. -105. 5 0 0
-2.1000 7 36.76 68. 51. -85. 5 0 0
-1.8000 7 38.06 69. 51. -84. 5 0 0
-1.5000 7 39.29 69. 52. -82. 5 0 0
-1.2000 7 40.46 236. 39. -101. 5 0 0
-0.9000 7 41.59 235. 39. -102. 5 0 0
-0.6000 7 42.69 235. 39. -103. 5 0 0
-0.3000 7 43.76 234. 39. -103. 5 0 0
0.0000 7 44.83 233. 39. -104. 5 0 0
0.3000 7 45.91 233. 39. -105. 5 0 0
0.6000 7 47.00 232. 39. -105. 5 0 0
0.9000 7 48.12 232. 39. -105. 5 0 0
1.2000 7 49.29 232. 39. -106. 5 0 0
1.5000 7 50.52 231. 39. -106. 5 0 0
1.8000 7 51.84 231. 39. -106. 5 0 0
2.1000 7 53.27 231. 38. -106. 5 0 0
-2.1000 8 23.48 69. 50. -85. 5 0 0
-1.8000 8 24.35 70. 51. -83. 5 0 0
-1.5000 8 25.19 70. 51. -81. 5 0 0
-1.2000 8 26.02 71. 51. -80. 5 0 0
-0.9000 8 26.83 234. 40. -104. 5 0 0
-0.6000 8 27.63 233. 40. -105. 5 0 0
-0.3000 8 28.42 232. 40. -106. 5 0 0
0.0000 8 29.20 232. 40. -106. 5 0 0
0.3000 8 30.00 231. 40. -107. 5 0 0
0.6000 8 30.81 231. 40. -107. 5 0 0
0.9000 8 31.65 230. 40. -108. 5 0 0
1.2000 8 32.52 230. 40. -108. 5 0 0
1.5000 8 33.43 229. 39. -108. 5 0 0
1.8000 8 34.41 229. 39. -108. 5 0 0
2.1000 8 35.48 229. 39. -108. 5 0 0
-2.1000 9 12.06 70. 51. -83. 5 0 0
-1.8000 9 12.98 72. 51. -80. 5 0 0
-1.5000 9 13.87 73. 51. -78. 5 0 0
-1.2000 9 14.73 74. 52. -77. 5 0 0
-0.9000 9 15.56 232. 40. -108. 5 0 0
-0.6000 9 16.38 230. 40. -109. 5 0 0
-0.3000 9 17.17 230. 40. -110. 5 0 0
0.0000 9 17.96 229. 41. -111. 5 0 0
0.3000 9 18.75 228. 41. -111. 5 0 0
0.6000 9 19.54 228. 41. -111. 5 0 0
0.9000 9 20.36 227. 41. -112. 5 0 0
1.2000 9 21.20 227. 41. -112. 5 0 0
1.5000 9 22.08 227. 40. -112. 5 0 0
1.8000 9 23.02 227. 40. -111. 5 0 0
2.1000 9 24.04 226. 40. -111. 5 0 0
-2.1000 10 4.17 78. 53. -72. 5 0 0
-1.8000 10 5.23 80. 53. -68. 5 0 0
-1.5000 10 6.20 225. 42. -119. 5 0 0
-1.2000 10 7.11 224. 43. -120. 5 0 0
-0.9000 10 7.95 223. 43. -121. 5 0 0
-0.6000 10 8.75 222. 43. -122. 5 0 0
-0.3000 10 9.50 222. 43. -122. 5 0 0
0.0000 10 10.23 221. 43. -122. 5 0 0
0.3000 10 10.94 221. 43. -122. 5 0 0
0.6000 10 11.64 221. 43. -122. 5 0 0
